# q  S_avg  S_stderr  n_modes
5.000000000000000104e-04 6.075000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.050000000000000086e-02 7.406019999999999270e-02 2.815679999999999919e-02 2.000000000000000000e+00
2.949999999999999845e-02 2.212603333333333644e-01 4.844576545077093621e-02 3.000000000000000000e+00
3.650000000000000466e-02 2.505620000000000069e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.150000000000000216e-02 8.784403333333333785e-01 1.739994199993526169e-01 3.000000000000000000e+00
4.649999999999999967e-02 1.706855833333333239e+00 4.568491959542315128e-01 6.000000000000000000e+00
5.150000000000000411e-02 3.002044333333333537e+00 1.190288375979582591e+00 3.000000000000000000e+00
5.949999999999999734e-02 4.717016666666666858e+00 3.027924335824423885e+00 3.000000000000000000e+00
6.250000000000000000e-02 2.356063666666666556e+00 6.984168775882433344e-01 6.000000000000000000e+00
6.650000000000000355e-02 9.338621666666666599e+00 3.050660338054060006e+00 6.000000000000000000e+00
6.950000000000000622e-02 6.860066666666665647e+00 6.795934061464827813e-01 3.000000000000000000e+00
7.250000000000000888e-02 5.869170000000000442e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.549999999999999767e-02 1.349530500000000011e+01 3.445503435321414898e+00 6.000000000000000000e+00
7.850000000000000033e-02 4.003546666666666809e+00 1.409614104686495839e+00 6.000000000000000000e+00
8.350000000000000477e-02 1.928593333333333248e+01 6.328799197934611875e+00 3.000000000000000000e+00
8.650000000000000744e-02 1.003473999999999933e+01 3.809064620823740643e+00 9.000000000000000000e+00
8.849999999999999534e-02 2.533014500000000169e+01 5.147208336197885536e+00 6.000000000000000000e+00
9.149999999999999800e-02 5.336398666666666912e+01 3.488019803437920530e+01 3.000000000000000000e+00
9.349999999999999978e-02 3.503418333333333123e+01 8.675492018147698658e+00 6.000000000000000000e+00
9.550000000000000155e-02 7.074231666666666740e+01 1.716687298359676106e+01 6.000000000000000000e+00
9.850000000000000422e-02 2.265999999999999659e+01 9.793319660530505288e+00 3.000000000000000000e+00
1.025000000000000078e-01 5.490976666666666262e+01 2.322409990766297128e+01 3.000000000000000000e+00
1.045000000000000095e-01 3.324934333333333569e+01 1.231106010716357702e+01 9.000000000000000000e+00
1.064999999999999974e-01 2.864593333333333192e+01 1.009058993869853715e+01 1.200000000000000000e+01
1.084999999999999992e-01 1.416070249999999930e+01 4.494085931915363652e+00 4.000000000000000000e+00
1.125000000000000028e-01 2.151755999999999958e+01 4.533789704980076607e+00 1.200000000000000000e+01
1.145000000000000046e-01 8.583660000000000068e+00 3.617824045939769917e+00 6.000000000000000000e+00
1.185000000000000081e-01 2.994216666666666526e+00 1.247022557966686263e+00 3.000000000000000000e+00
1.204999999999999960e-01 1.242581000000000024e+01 2.879647162825103468e+00 6.000000000000000000e+00
1.224999999999999978e-01 1.054336222222222119e+01 2.544347297017655496e+00 9.000000000000000000e+00
1.234999999999999987e-01 8.986584500000001086e+00 3.319004406569775689e+00 6.000000000000000000e+00
1.255000000000000004e-01 1.264703000000000088e+01 3.009723271773226294e+00 6.000000000000000000e+00
1.275000000000000022e-01 7.250378333333333813e+00 8.920819463831660689e-01 6.000000000000000000e+00
1.295000000000000040e-01 9.292503333333334226e+00 2.474993148550000299e+00 9.000000000000000000e+00
1.325000000000000067e-01 7.124979999999999869e+00 3.013443586772448946e+00 6.000000000000000000e+00
1.345000000000000084e-01 7.202814666666667698e+00 1.711668348140092943e+00 1.500000000000000000e+01
1.355000000000000093e-01 3.882153333333333123e+00 1.012168879992091153e+00 6.000000000000000000e+00
1.375000000000000111e-01 3.591950000000000198e+00 7.991539878104428896e-01 3.000000000000000000e+00
1.385000000000000120e-01 2.713345333333332832e+00 1.219463327592009705e+00 3.000000000000000000e+00
1.405000000000000138e-01 4.494243249999999357e+00 1.791453902456373370e+00 1.200000000000000000e+01
1.425000000000000155e-01 6.813800000000000523e+00 2.948366234683202247e+00 6.000000000000000000e+00
1.454999999999999905e-01 9.422350000000000447e-01 0.000000000000000000e+00 1.000000000000000000e+00
1.464999999999999913e-01 3.245141111111111698e+00 7.684037391773871351e-01 9.000000000000000000e+00
1.484999999999999931e-01 3.137152066666666350e+00 6.050309284104758989e-01 1.500000000000000000e+01
1.494999999999999940e-01 4.804451666666666121e+00 9.853676304825411680e-01 6.000000000000000000e+00
1.514999999999999958e-01 3.457719833333333437e+00 1.421337766290157623e+00 6.000000000000000000e+00
1.524999999999999967e-01 3.544764166666666938e+00 8.386367438709034783e-01 1.200000000000000000e+01
1.534999999999999976e-01 4.840405249999998993e+00 7.908300771326054468e-01 1.200000000000000000e+01
1.565000000000000002e-01 5.240976666666665729e+00 1.256622693854886563e+00 6.000000000000000000e+00
1.585000000000000020e-01 4.517113333333333536e+00 8.059198695803725387e-01 6.000000000000000000e+00
1.595000000000000029e-01 3.722325666666666422e+00 1.382403055079491461e+00 6.000000000000000000e+00
1.605000000000000038e-01 4.613673555555555694e+00 1.769253547531142168e+00 9.000000000000000000e+00
1.635000000000000064e-01 4.686659250000000831e+00 1.069431335839917674e+00 1.200000000000000000e+01
1.645000000000000073e-01 3.767390500000000753e+00 8.321413500304818411e-01 1.200000000000000000e+01
1.675000000000000100e-01 6.080726666666667057e+00 2.504561771277451498e+00 3.000000000000000000e+00
1.685000000000000109e-01 4.158517611111111734e+00 5.609645080440638365e-01 1.800000000000000000e+01
1.705000000000000127e-01 4.311501083333333817e+00 6.347086034652754671e-01 1.200000000000000000e+01
1.715000000000000135e-01 2.120216666666666416e+00 6.013562528244893457e-01 3.000000000000000000e+00
1.725000000000000144e-01 3.817495555555554976e+00 7.140918372118049140e-01 9.000000000000000000e+00
1.735000000000000153e-01 4.005822499999999842e+00 6.456643449628065579e-01 1.200000000000000000e+01
1.754999999999999893e-01 3.771209999999999951e+00 9.817597468050250908e-01 6.000000000000000000e+00
1.774999999999999911e-01 2.764563333333333262e+00 6.653300566519181336e-01 6.000000000000000000e+00
1.784999999999999920e-01 4.187633888888888656e+00 9.820147270540640072e-01 9.000000000000000000e+00
1.804999999999999938e-01 3.695460388888888836e+00 7.626915929260139615e-01 1.800000000000000000e+01
1.814999999999999947e-01 3.211203571428570935e+00 1.231322721372346995e+00 7.000000000000000000e+00
1.824999999999999956e-01 5.849140000000001116e+00 2.138259487675276294e+00 3.000000000000000000e+00
1.834999999999999964e-01 2.339927500000000382e+00 3.625774197642713803e-01 1.200000000000000000e+01
1.844999999999999973e-01 6.580061666666665587e+00 1.475540370696820869e+00 6.000000000000000000e+00
1.875000000000000000e-01 4.047578500000000190e+00 1.741707200289871693e+00 6.000000000000000000e+00
1.885000000000000009e-01 4.327228466666666939e+00 9.148102576842649380e-01 1.500000000000000000e+01
1.895000000000000018e-01 3.443029999999999813e+00 7.309068614076473791e-01 9.000000000000000000e+00
1.905000000000000027e-01 2.599206666666666443e+00 5.246915468449587783e-01 9.000000000000000000e+00
1.915000000000000036e-01 7.500485000000000291e+00 2.645122887860789529e+00 6.000000000000000000e+00
1.935000000000000053e-01 4.681666166666667017e+00 8.101713165549190299e-01 1.200000000000000000e+01
1.945000000000000062e-01 2.764511133333332982e+00 4.576636701462774015e-01 1.500000000000000000e+01
1.965000000000000080e-01 2.435026666666666895e+00 7.714348994424468087e-01 3.000000000000000000e+00
1.975000000000000089e-01 4.844923999999999786e+00 6.845129879348007540e-01 2.100000000000000000e+01
1.985000000000000098e-01 3.182319055555555387e+00 4.461534210390702415e-01 1.800000000000000000e+01
1.995000000000000107e-01 3.624174999999999702e+00 1.371719999282531077e+00 6.000000000000000000e+00
2.015000000000000124e-01 3.297198333333332787e+00 5.848286573599522642e-01 6.000000000000000000e+00
2.035000000000000142e-01 3.939099999999999824e+00 6.730429052445319194e-01 1.200000000000000000e+01
2.055000000000000160e-01 4.427483333333332993e+00 2.621062401707453304e+00 3.000000000000000000e+00
2.065000000000000169e-01 4.044439444444444476e+00 1.163373498146913487e+00 9.000000000000000000e+00
2.075000000000000178e-01 2.535698066666666861e+00 3.616375088964015050e-01 1.500000000000000000e+01
2.085000000000000187e-01 2.540675888888888956e+00 5.760536415632576679e-01 9.000000000000000000e+00
2.094999999999999918e-01 3.319505555555555265e+00 7.570264494482326079e-01 9.000000000000000000e+00
2.104999999999999927e-01 2.742282291666666705e+00 3.453088045036460940e-01 2.400000000000000000e+01
2.114999999999999936e-01 1.357736333333333434e+00 1.651041574323446615e-01 6.000000000000000000e+00
2.134999999999999953e-01 2.569936083333333343e+00 4.554254991367540639e-01 1.200000000000000000e+01
2.144999999999999962e-01 2.522912083333332944e+00 4.081661624504067110e-01 1.200000000000000000e+01
2.154999999999999971e-01 2.260405916666666570e+00 5.113239670736609011e-01 1.200000000000000000e+01
2.164999999999999980e-01 2.955551999999999957e+00 5.800673867885236534e-01 9.000000000000000000e+00
2.174999999999999989e-01 2.084417499999999812e+00 5.338962326828282645e-01 4.000000000000000000e+00
2.184999999999999998e-01 2.063471249999999646e+00 2.975377680623624843e-01 1.200000000000000000e+01
2.195000000000000007e-01 2.123444833333333115e+00 3.324021241089161749e-01 1.800000000000000000e+01
2.225000000000000033e-01 2.767976666666666308e+00 5.798783705404391142e-01 1.500000000000000000e+01
2.235000000000000042e-01 1.204636250000000075e+00 1.665516828480943234e-01 1.200000000000000000e+01
2.245000000000000051e-01 1.767391166666666846e+00 4.871149633149870484e-01 6.000000000000000000e+00
2.255000000000000060e-01 1.700018083333333374e+00 2.183900088763379432e-01 1.200000000000000000e+01
2.265000000000000069e-01 1.558286888888888777e+00 2.040789149118240609e-01 1.800000000000000000e+01
2.275000000000000078e-01 1.402962000000000042e+00 1.212857670755769779e-01 9.000000000000000000e+00
2.295000000000000095e-01 1.261996666666666655e+00 3.438565906701674391e-01 6.000000000000000000e+00
2.305000000000000104e-01 1.353710916666666764e+00 2.473789420630507774e-01 1.200000000000000000e+01
2.315000000000000113e-01 1.473540111111111051e+00 1.797174881218011611e-01 1.800000000000000000e+01
2.325000000000000122e-01 1.727707833333333554e+00 4.967679741575146690e-01 6.000000000000000000e+00
2.345000000000000140e-01 1.451271250000000235e+00 1.846527397503947010e-01 2.400000000000000000e+01
2.355000000000000149e-01 1.816699500000000134e+00 2.833434948945084408e-01 1.800000000000000000e+01
2.365000000000000158e-01 1.044869333333333428e+00 4.343930460467545496e-01 3.000000000000000000e+00
2.375000000000000167e-01 1.310072611111110952e+00 1.161237248561701046e-01 1.800000000000000000e+01
2.385000000000000175e-01 1.546955499999999928e+00 2.500389120381156793e-01 1.200000000000000000e+01
2.394999999999999907e-01 1.287379133333332870e+00 1.445812462644765206e-01 1.500000000000000000e+01
2.404999999999999916e-01 1.054494499999999890e+00 1.384036320953440091e-01 6.000000000000000000e+00
2.414999999999999925e-01 1.461134666666666471e+00 3.777555334116379782e-01 6.000000000000000000e+00
2.424999999999999933e-01 1.144671428571428340e+00 1.212791766953729145e-01 2.100000000000000000e+01
2.444999999999999951e-01 1.354838444444444567e+00 2.240908961841470981e-01 9.000000000000000000e+00
2.454999999999999960e-01 1.217251799999999884e+00 2.002082502812461140e-01 1.500000000000000000e+01
2.464999999999999969e-01 1.147731428571428847e+00 1.489576005764979005e-01 2.100000000000000000e+01
2.474999999999999978e-01 1.191823999999999995e+00 2.019745932202035021e-01 6.000000000000000000e+00
2.484999999999999987e-01 1.145440666666666552e+00 1.854347303244595901e-01 1.200000000000000000e+01
2.494999999999999996e-01 9.056996666666665696e-01 1.785565131496966162e-01 6.000000000000000000e+00
2.515000000000000013e-01 7.550333333333333341e-01 1.080108246617491052e-01 6.000000000000000000e+00
2.525000000000000022e-01 1.247789833333333265e+00 1.089187256510379814e-01 1.800000000000000000e+01
2.535000000000000031e-01 1.041824147058823646e+00 7.984878866490933980e-02 3.400000000000000000e+01
2.545000000000000040e-01 8.751074999999999271e-01 1.406552836122767214e-01 6.000000000000000000e+00
2.555000000000000049e-01 1.080191458333333410e+00 9.803342802200840089e-02 2.400000000000000000e+01
2.565000000000000058e-01 1.243559799999999882e+00 2.544947824953101567e-01 1.500000000000000000e+01
2.585000000000000075e-01 1.061829666666666672e+00 1.264166439124347896e-01 9.000000000000000000e+00
2.595000000000000084e-01 9.878324545454544303e-01 8.529369977257471314e-02 3.300000000000000000e+01
2.605000000000000093e-01 8.312328333333333097e-01 1.106505279746700376e-01 1.200000000000000000e+01
2.625000000000000111e-01 9.342690833333332501e-01 1.181911750563633123e-01 1.200000000000000000e+01
2.635000000000000120e-01 1.137340666666666555e+00 1.497769531580479541e-01 1.200000000000000000e+01
2.645000000000000129e-01 9.985353333333334414e-01 1.437432304835411789e-01 6.000000000000000000e+00
2.655000000000000138e-01 8.254963750000000600e-01 6.212412410637939419e-02 2.400000000000000000e+01
2.665000000000000147e-01 1.203488866666666768e+00 1.847997771767329322e-01 1.500000000000000000e+01
2.675000000000000155e-01 5.243010000000000170e-01 5.072378087577198574e-02 3.000000000000000000e+00
2.685000000000000164e-01 9.801622000000000945e-01 1.244244513216257592e-01 1.500000000000000000e+01
2.695000000000000173e-01 8.413548148148149997e-01 7.221628100125709881e-02 2.700000000000000000e+01
2.715000000000000191e-01 6.085778333333332624e-01 1.008365328405060046e-01 6.000000000000000000e+00
2.725000000000000200e-01 8.373281333333333354e-01 6.494752967411583644e-02 1.500000000000000000e+01
2.735000000000000209e-01 7.841892820512820217e-01 6.007859180545527256e-02 3.900000000000000000e+01
2.745000000000000218e-01 9.459973333333332457e-01 1.753160109263016131e-01 3.000000000000000000e+00
