# q  S_avg  S_stderr  n_modes
5.000000000000000104e-03 6.075000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.500000000000000139e-02 1.928908400000000078e-01 5.754790689647713148e-02 5.000000000000000000e+00
3.500000000000000333e-02 2.345160000000000022e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.499999999999999833e-02 1.437700444444444337e+00 4.665321319759858087e-01 9.000000000000000000e+00
5.500000000000000028e-02 2.695126666666666893e+00 1.045110979031754095e+00 6.000000000000000000e+00
6.500000000000000222e-02 5.525780133333332955e+00 1.344548291007259255e+00 1.500000000000000000e+01
7.500000000000001110e-02 1.281356884615384573e+01 3.605023382907476481e+00 1.300000000000000000e+01
8.499999999999999223e-02 1.639046055555555270e+01 3.069069357909836260e+00 1.800000000000000000e+01
9.500000000000000111e-02 3.440602722222222098e+01 9.800089513627099791e+00 1.800000000000000000e+01
1.050000000000000100e-01 2.214690250000000304e+01 3.546278696101326844e+00 2.800000000000000000e+01
1.149999999999999911e-01 1.507938523809523979e+01 2.190336298186348341e+00 2.100000000000000000e+01
1.250000000000000000e-01 7.765118738095238449e+00 1.148428532704188543e+00 4.200000000000000000e+01
1.350000000000000089e-01 4.637481030303029605e+00 7.686598402441721101e-01 3.300000000000000000e+01
1.450000000000000178e-01 4.029422102040816078e+00 5.217471110457955197e-01 4.900000000000000000e+01
1.549999999999999989e-01 2.692660249999999866e+00 2.652000452897856353e-01 4.800000000000000000e+01
1.650000000000000078e-01 3.308473425925925415e+00 3.924312543852977453e-01 5.400000000000000000e+01
1.749999999999999889e-01 3.206276035087719745e+00 3.324959602886203847e-01 5.700000000000000000e+01
1.849999999999999978e-01 2.760155276315789497e+00 2.555399090019634945e-01 7.600000000000000000e+01
1.950000000000000067e-01 2.766255544444444325e+00 1.993895291200897535e-01 9.000000000000000000e+01
2.050000000000000155e-01 1.953413587301587429e+00 2.057704556147169350e-01 6.300000000000000000e+01
2.149999999999999967e-01 1.787386018348623873e+00 1.156897590706204432e-01 1.090000000000000000e+02
2.250000000000000056e-01 1.251233923076922938e+00 7.947041612404995292e-02 7.800000000000000000e+01
2.349999999999999867e-01 9.708994365079365307e-01 5.370424441468822641e-02 1.260000000000000000e+02
2.449999999999999956e-01 8.385809901960784574e-01 4.811400578595406013e-02 1.020000000000000000e+02
2.550000000000000044e-01 8.564996068965516907e-01 4.200590225241102038e-02 1.450000000000000000e+02
2.650000000000000133e-01 7.346819206349205489e-01 3.098238937850370661e-02 1.260000000000000000e+02
2.750000000000000222e-01 6.251612868217053531e-01 2.432073411375869007e-02 1.290000000000000000e+02
2.850000000000000311e-01 5.856653660130718420e-01 2.302197807335654156e-02 1.530000000000000000e+02
2.949999999999999845e-01 5.597924157303371118e-01 1.771533393638580201e-02 1.780000000000000000e+02
3.049999999999999933e-01 5.367727528735631859e-01 1.651543178878774401e-02 1.740000000000000000e+02
3.150000000000000022e-01 4.889381005291005278e-01 1.463329544372022305e-02 1.890000000000000000e+02
3.250000000000000111e-01 4.835479274611399481e-01 1.352621932084429289e-02 1.930000000000000000e+02
3.350000000000000200e-01 4.585097156862744661e-01 1.032072307668149662e-02 2.040000000000000000e+02
3.450000000000000289e-01 4.526818181818181852e-01 9.936341480865189257e-03 2.310000000000000000e+02
3.549999999999999822e-01 4.536392820512820112e-01 9.961408299223024551e-03 2.340000000000000000e+02
3.649999999999999911e-01 4.282834915966385880e-01 8.448987559732664548e-03 2.380000000000000000e+02
3.750000000000000000e-01 4.368666462585034105e-01 7.310000773757521254e-03 2.940000000000000000e+02
3.850000000000000089e-01 4.487885891472868649e-01 8.055786209202830950e-03 2.580000000000000000e+02
3.950000000000000178e-01 4.433268740458015666e-01 8.127179323096731661e-03 2.620000000000000000e+02
4.050000000000000266e-01 4.462982438271605456e-01 6.706667050483279373e-03 3.240000000000000000e+02
4.150000000000000355e-01 4.533402253086419309e-01 6.257854981135114320e-03 3.240000000000000000e+02
4.249999999999999889e-01 4.665574320987653789e-01 6.839858403181419549e-03 3.240000000000000000e+02
4.349999999999999978e-01 4.646125255681818333e-01 6.102939251593634748e-03 3.520000000000000000e+02
4.450000000000000067e-01 4.815501679586563499e-01 5.780895295119027610e-03 3.870000000000000000e+02
4.550000000000000155e-01 4.883899999999999908e-01 6.231456994728159886e-03 3.390000000000000000e+02
4.650000000000000244e-01 4.804033080808081113e-01 5.714789657430013707e-03 3.960000000000000000e+02
4.749999999999999778e-01 5.074803784403669749e-01 5.885659173067269399e-03 4.360000000000000000e+02
4.849999999999999867e-01 5.124992816901409176e-01 5.871279590019730203e-03 4.260000000000000000e+02
4.949999999999999956e-01 5.272927755102040370e-01 6.225082109278412545e-03 4.410000000000000000e+02
5.050000000000000044e-01 5.370477136258660078e-01 5.905420833225942003e-03 4.330000000000000000e+02
5.150000000000000133e-01 5.447353652694610915e-01 5.389083447914260611e-03 5.010000000000000000e+02
5.250000000000000222e-01 5.572799320987654736e-01 5.733947571775724512e-03 4.860000000000000000e+02
5.350000000000000311e-01 5.548545619047619004e-01 5.220742813605483770e-03 5.250000000000000000e+02
5.450000000000000400e-01 5.679713932384341524e-01 4.884707528915489816e-03 5.620000000000000000e+02
5.550000000000000488e-01 5.807680324324325793e-01 5.259798288277527274e-03 5.550000000000000000e+02
5.650000000000000577e-01 5.864699614035087105e-01 5.243964158222075463e-03 5.700000000000000000e+02
5.749999999999999556e-01 6.084153096446700548e-01 4.933403361509365245e-03 5.910000000000000000e+02
5.849999999999999645e-01 6.168331126279863463e-01 5.290533978776763673e-03 5.860000000000000000e+02
5.949999999999999734e-01 6.373396181818182793e-01 5.083870696816380520e-03 6.600000000000000000e+02
6.049999999999999822e-01 6.411905555555555969e-01 4.993504249061581426e-03 6.570000000000000000e+02
6.149999999999999911e-01 6.620039743954480027e-01 4.828997905809847072e-03 7.030000000000000000e+02
6.250000000000000000e-01 6.754856003086420202e-01 5.421326053390419439e-03 6.480000000000000000e+02
6.350000000000000089e-01 7.135780874074074687e-01 5.610681542909404240e-03 6.750000000000000000e+02
6.450000000000000178e-01 7.137800063191153122e-01 5.635464994151936739e-03 6.330000000000000000e+02
6.550000000000000266e-01 7.535461043872919706e-01 5.860403108043652290e-03 6.610000000000000000e+02
6.650000000000000355e-01 7.700178733333332692e-01 6.123067793410877195e-03 6.000000000000000000e+02
6.750000000000000444e-01 8.050575772357723148e-01 6.037523797719969443e-03 6.150000000000000000e+02
6.850000000000000533e-01 8.269229323843415580e-01 6.437819072462715522e-03 5.620000000000000000e+02
6.950000000000000622e-01 8.579024812834225022e-01 6.949650737450252698e-03 5.610000000000000000e+02
7.050000000000000711e-01 8.831305185185185369e-01 7.065163510793648002e-03 5.400000000000000000e+02
7.149999999999999689e-01 9.055852869875223865e-01 7.183799061469701118e-03 5.610000000000000000e+02
7.249999999999999778e-01 9.396461644100579935e-01 8.086033988076267789e-03 5.170000000000000000e+02
7.349999999999999867e-01 9.806953912037037480e-01 9.103863819141733843e-03 4.320000000000000000e+02
7.449999999999999956e-01 1.004683120481927538e+00 8.765521456759222535e-03 4.980000000000000000e+02
7.550000000000000044e-01 1.033242179653679704e+00 8.431600314338828436e-03 4.620000000000000000e+02
7.650000000000000133e-01 1.048756779904306047e+00 1.017733476279699713e-02 4.180000000000000000e+02
7.750000000000000222e-01 1.079558145124716706e+00 9.046899158075653868e-03 4.410000000000000000e+02
7.850000000000000311e-01 1.113130118110236211e+00 1.011437986107727345e-02 3.810000000000000000e+02
7.950000000000000400e-01 1.118886710982659016e+00 1.098707438813279098e-02 3.460000000000000000e+02
8.050000000000000488e-01 1.174189955357142878e+00 1.136531690035711729e-02 3.360000000000000000e+02
8.150000000000000577e-01 1.165427952802359890e+00 1.160532194219114979e-02 3.390000000000000000e+02
8.250000000000000666e-01 1.202001831501831486e+00 1.352634028381492250e-02 2.730000000000000000e+02
8.349999999999999645e-01 1.215259638059701386e+00 1.426298948707909950e-02 2.680000000000000000e+02
