# q  S_avg  S_stderr  n_modes
5.000000000000000104e-04 6.075000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.050000000000000086e-02 8.069500000000000284e-02 2.545599999999999599e-02 2.000000000000000000e+00
2.949999999999999845e-02 3.956056666666666888e-01 1.179668531132557069e-01 3.000000000000000000e+00
3.650000000000000466e-02 2.520359999999999823e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.150000000000000216e-02 6.172243333333332638e-01 1.814944100299265839e-01 3.000000000000000000e+00
4.649999999999999967e-02 1.321304666666666572e+00 3.259745446104309052e-01 6.000000000000000000e+00
5.150000000000000411e-02 1.988246666666666718e+00 6.725052442505148331e-01 3.000000000000000000e+00
5.949999999999999734e-02 6.827930000000001165e+00 4.145878791695837506e+00 3.000000000000000000e+00
6.250000000000000000e-02 5.240013833333333260e+00 2.644773916714879380e+00 6.000000000000000000e+00
6.650000000000000355e-02 4.538580000000000503e+00 8.599030251991597318e-01 6.000000000000000000e+00
6.950000000000000622e-02 6.838606666666667167e+00 1.472766957785394348e+00 3.000000000000000000e+00
7.250000000000000888e-02 2.378260000000000041e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.549999999999999767e-02 9.834086333333331709e+00 3.874914638279762347e+00 6.000000000000000000e+00
7.850000000000000033e-02 2.609266166666666820e+01 4.540967137413509214e+00 6.000000000000000000e+00
8.350000000000000477e-02 7.650390000000000690e+00 7.210515047484471474e-01 3.000000000000000000e+00
8.650000000000000744e-02 1.975584222222222053e+01 5.856372956382830175e+00 9.000000000000000000e+00
8.849999999999999534e-02 5.687756999999999152e+01 2.072407777968338749e+01 6.000000000000000000e+00
9.149999999999999800e-02 5.879545666666665937e+01 3.984983942154443781e+01 3.000000000000000000e+00
9.349999999999999978e-02 3.511234666666666726e+01 1.574658825234356740e+01 6.000000000000000000e+00
9.550000000000000155e-02 5.622717166666666344e+01 2.254106795196720370e+01 6.000000000000000000e+00
9.850000000000000422e-02 8.583287666666666382e+01 4.697735121311699658e+01 3.000000000000000000e+00
1.025000000000000078e-01 5.187566666666666748e+01 2.360862235295495637e+01 3.000000000000000000e+00
1.045000000000000095e-01 2.087803999999999860e+01 7.420779928895801625e+00 9.000000000000000000e+00
1.064999999999999974e-01 3.994613916666666142e+01 1.145557196076667950e+01 1.200000000000000000e+01
1.084999999999999992e-01 1.515102249999999984e+01 6.032424403577132388e+00 4.000000000000000000e+00
1.125000000000000028e-01 1.008659083333333228e+01 1.718089424990100866e+00 1.200000000000000000e+01
1.145000000000000046e-01 5.115855000000000707e+00 1.283683408411773197e+00 6.000000000000000000e+00
1.185000000000000081e-01 6.156303333333333683e+00 2.786860919806448678e+00 3.000000000000000000e+00
1.204999999999999960e-01 6.141508333333334235e+00 3.118718666303430087e+00 6.000000000000000000e+00
1.224999999999999978e-01 6.813732222222222745e+00 1.776029804000091916e+00 9.000000000000000000e+00
