# q  S_avg  S_stderr  n_modes
5.000000000000000104e-04 6.075000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.050000000000000086e-02 4.667840000000000322e-01 3.237599999999999922e-01 2.000000000000000000e+00
2.949999999999999845e-02 4.146996666666666331e-01 1.006125474652363738e-01 3.000000000000000000e+00
3.650000000000000466e-02 5.062250000000000361e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.150000000000000216e-02 1.395838666666666894e+00 7.744971876472144245e-01 3.000000000000000000e+00
4.649999999999999967e-02 1.381837666666666520e+00 3.452498967461749002e-01 6.000000000000000000e+00
5.150000000000000411e-02 1.502075000000000271e+00 6.795045783694176889e-01 3.000000000000000000e+00
5.949999999999999734e-02 1.617486666666666517e+00 3.813785631247660346e-01 3.000000000000000000e+00
6.250000000000000000e-02 1.718313333333333359e+00 4.710699766892860185e-01 6.000000000000000000e+00
6.650000000000000355e-02 9.605140000000002010e-01 1.370626836414638450e-01 6.000000000000000000e+00
6.950000000000000622e-02 1.367146666666666732e+00 2.743374658052459281e-01 3.000000000000000000e+00
7.250000000000000888e-02 1.633780000000000010e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.549999999999999767e-02 1.851141000000000147e+00 5.748100620051230791e-01 6.000000000000000000e+00
7.850000000000000033e-02 2.293141833333332880e+00 5.900420133024661951e-01 6.000000000000000000e+00
8.350000000000000477e-02 1.117522333333333284e+00 1.266147324318058209e-01 3.000000000000000000e+00
8.650000000000000744e-02 2.383933777777777596e+00 4.899424968459387131e-01 9.000000000000000000e+00
8.849999999999999534e-02 2.173378333333333412e+00 3.653966968051450825e-01 6.000000000000000000e+00
9.149999999999999800e-02 1.655235333333333392e+00 3.619259682243194942e-01 3.000000000000000000e+00
9.349999999999999978e-02 1.544316166666666490e+00 3.020486436793933804e-01 6.000000000000000000e+00
9.550000000000000155e-02 2.137956666666666283e+00 4.493612842147297615e-01 6.000000000000000000e+00
9.850000000000000422e-02 1.654263333333333419e+00 3.641052393806555321e-01 3.000000000000000000e+00
1.025000000000000078e-01 1.105762666666666894e+00 1.977740372759894116e-01 3.000000000000000000e+00
1.045000000000000095e-01 1.561139888888889216e+00 2.091066865967150246e-01 9.000000000000000000e+00
1.064999999999999974e-01 1.481347000000000191e+00 1.770709934020644194e-01 1.200000000000000000e+01
1.084999999999999992e-01 2.136496000000000173e+00 8.554469258303911694e-01 4.000000000000000000e+00
1.125000000000000028e-01 1.308894250000000037e+00 1.105216110741520930e-01 1.200000000000000000e+01
1.145000000000000046e-01 1.119391833333333475e+00 1.125316800551195151e-01 6.000000000000000000e+00
1.185000000000000081e-01 1.251412333333333349e+00 4.302645827729465466e-01 3.000000000000000000e+00
1.204999999999999960e-01 1.261160333333333439e+00 1.192837984798345574e-01 6.000000000000000000e+00
1.224999999999999978e-01 1.582196777777777674e+00 1.885070455472109829e-01 9.000000000000000000e+00
1.234999999999999987e-01 1.741309166666666686e+00 3.373616338880693899e-01 6.000000000000000000e+00
1.255000000000000004e-01 1.469701999999999842e+00 2.484029283724328296e-01 6.000000000000000000e+00
1.275000000000000022e-01 1.184328333333333427e+00 1.115003182359185635e-01 6.000000000000000000e+00
1.295000000000000040e-01 1.302386888888888761e+00 1.508330309264412639e-01 9.000000000000000000e+00
1.325000000000000067e-01 9.293556666666665800e-01 8.014380635942980335e-02 6.000000000000000000e+00
1.345000000000000084e-01 1.208580399999999999e+00 1.205045865078843842e-01 1.500000000000000000e+01
1.355000000000000093e-01 1.405109833333333169e+00 1.646274819079764640e-01 6.000000000000000000e+00
