# q  S_avg  S_stderr  n_modes
5.000000000000000104e-04 4.050000000000000000e+03 0.000000000000000000e+00 1.330000000000000000e+02
2.050000000000000086e-02 5.712330000000000185e-02 3.156499999999999150e-03 2.000000000000000000e+00
2.949999999999999845e-02 8.894256666666666700e-02 9.104860365089506580e-03 3.000000000000000000e+00
3.650000000000000466e-02 9.045649999999999524e-02 0.000000000000000000e+00 1.000000000000000000e+00
4.150000000000000216e-02 1.721133333333333404e-01 3.589016025938648186e-02 3.000000000000000000e+00
4.649999999999999967e-02 2.491786666666666594e-01 3.677522689679985080e-02 6.000000000000000000e+00
5.150000000000000411e-02 4.737736666666665930e-01 1.398857238669399539e-01 3.000000000000000000e+00
5.949999999999999734e-02 8.516526666666667245e-01 2.862922691268099396e-01 3.000000000000000000e+00
6.250000000000000000e-02 1.333679000000000059e+00 1.951241843852268565e-01 6.000000000000000000e+00
6.650000000000000355e-02 1.263115166666666900e+00 2.333335544946213702e-01 6.000000000000000000e+00
6.950000000000000622e-02 1.672613333333333285e+00 1.224327878651974844e-01 3.000000000000000000e+00
7.250000000000000888e-02 3.220749999999999780e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.549999999999999767e-02 3.120063333333333855e+00 5.603750332569945591e-01 6.000000000000000000e+00
7.850000000000000033e-02 3.006848333333333567e+00 4.424111883260991585e-01 6.000000000000000000e+00
8.350000000000000477e-02 6.615846666666666209e+00 3.694649662170661042e+00 3.000000000000000000e+00
8.650000000000000744e-02 3.646821111111111069e+00 6.514658970532968274e-01 9.000000000000000000e+00
8.849999999999999534e-02 2.865384999999999849e+00 5.644135082233593392e-01 6.000000000000000000e+00
9.149999999999999800e-02 2.604383333333333272e+00 9.941317820143924511e-01 3.000000000000000000e+00
9.349999999999999978e-02 2.689894999999999925e+00 5.236032242945670712e-01 6.000000000000000000e+00
9.550000000000000155e-02 2.884968333333333579e+00 3.925109939132633285e-01 6.000000000000000000e+00
9.850000000000000422e-02 5.225026666666666486e+00 1.441499346332761000e+00 3.000000000000000000e+00
1.025000000000000078e-01 3.587776666666666614e+00 1.197704301213135203e+00 3.000000000000000000e+00
1.045000000000000095e-01 2.636624444444444659e+00 2.133150123390229747e-01 9.000000000000000000e+00
1.064999999999999974e-01 2.457035833333333752e+00 2.559848357146297104e-01 1.200000000000000000e+01
1.084999999999999992e-01 2.144980000000000331e+00 4.119386233206754344e-01 4.000000000000000000e+00
1.125000000000000028e-01 2.201230833333333248e+00 2.642765565866569966e-01 1.200000000000000000e+01
1.145000000000000046e-01 2.449833333333333307e+00 3.811662369593847299e-01 6.000000000000000000e+00
1.185000000000000081e-01 1.493653333333333499e+00 4.704602765495841665e-01 3.000000000000000000e+00
1.204999999999999960e-01 1.633610000000000007e+00 1.790958039523354028e-01 6.000000000000000000e+00
1.224999999999999978e-01 1.868814444444444556e+00 1.210528780362705586e-01 9.000000000000000000e+00
1.234999999999999987e-01 1.646648333333333269e+00 3.500648284381687181e-01 6.000000000000000000e+00
1.255000000000000004e-01 1.377458333333333229e+00 2.156298760556565053e-01 6.000000000000000000e+00
1.275000000000000022e-01 2.157141666666666513e+00 2.231697749908003459e-01 6.000000000000000000e+00
1.295000000000000040e-01 1.367608222222222336e+00 1.467770266759317044e-01 9.000000000000000000e+00
1.325000000000000067e-01 1.565087666666666655e+00 1.753942835939770739e-01 6.000000000000000000e+00
1.345000000000000084e-01 1.451785333333333261e+00 1.092892337609862180e-01 1.500000000000000000e+01
1.355000000000000093e-01 1.147795000000000121e+00 5.837120869915234794e-02 6.000000000000000000e+00
1.375000000000000111e-01 1.308862666666666730e+00 1.755726956764949720e-01 3.000000000000000000e+00
1.385000000000000120e-01 1.210268333333333279e+00 2.418582604945393733e-01 3.000000000000000000e+00
1.405000000000000138e-01 1.318150083333333278e+00 8.329886121947581434e-02 1.200000000000000000e+01
1.425000000000000155e-01 1.197275833333333317e+00 1.271001937476668175e-01 6.000000000000000000e+00
1.454999999999999905e-01 1.551039999999999974e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.464999999999999913e-01 1.324545222222222263e+00 1.191032771502878035e-01 9.000000000000000000e+00
1.484999999999999931e-01 1.138882066666666804e+00 7.451262032891228793e-02 1.500000000000000000e+01
1.494999999999999940e-01 1.174026500000000084e+00 8.025559110066204926e-02 6.000000000000000000e+00
1.514999999999999958e-01 1.156755166666666446e+00 1.034922828654119831e-01 6.000000000000000000e+00
1.524999999999999967e-01 1.392167833333333382e+00 1.396061708643517307e-01 1.200000000000000000e+01
