# q  S_avg  S_stderr  n_modes
5.000000000000000104e-04 8.100000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.050000000000000086e-02 3.439404999999999546e-02 1.000500000000008327e-04 2.000000000000000000e+00
2.949999999999999845e-02 3.619723333333333404e-01 1.054315830516538433e-01 3.000000000000000000e+00
3.650000000000000466e-02 5.218599999999999905e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.150000000000000216e-02 1.097775333333333547e+00 3.285985140894246426e-01 3.000000000000000000e+00
4.649999999999999967e-02 1.322457500000000286e+00 3.306600598035945304e-01 6.000000000000000000e+00
5.150000000000000411e-02 5.672373333333333711e-01 2.056576046282861392e-01 3.000000000000000000e+00
5.949999999999999734e-02 2.863193333333333257e+00 1.143278236101975542e+00 3.000000000000000000e+00
6.250000000000000000e-02 7.530810333333332274e+00 2.334637915648087425e+00 6.000000000000000000e+00
6.650000000000000355e-02 6.187098333333334033e+00 2.909860380581191119e+00 6.000000000000000000e+00
6.950000000000000622e-02 8.178646666666667286e+00 2.618036147046951534e+00 3.000000000000000000e+00
7.250000000000000888e-02 3.926439999999999930e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.549999999999999767e-02 1.890552383333333353e+01 8.682952493244028958e+00 6.000000000000000000e+00
7.850000000000000033e-02 1.883382666666666339e+01 7.419479959962004045e+00 6.000000000000000000e+00
8.350000000000000477e-02 1.043825333333333383e+01 4.713817153098372792e+00 3.000000000000000000e+00
8.650000000000000744e-02 2.063565777777778010e+01 4.274918217052285918e+00 9.000000000000000000e+00
8.849999999999999534e-02 1.902670166666667129e+01 5.405868400970941678e+00 6.000000000000000000e+00
9.149999999999999800e-02 6.138626666666667120e+01 1.823165701194247390e+01 3.000000000000000000e+00
9.349999999999999978e-02 2.700633000000000195e+01 1.928112577847189257e+01 6.000000000000000000e+00
9.550000000000000155e-02 4.441218833333332583e+01 1.298241108300005919e+01 6.000000000000000000e+00
9.850000000000000422e-02 2.608056666666666601e+01 1.384677213484949654e+01 3.000000000000000000e+00
1.025000000000000078e-01 2.517423333333333346e+01 1.400796340578379429e+00 3.000000000000000000e+00
1.045000000000000095e-01 1.411837111111111120e+01 3.234520710110629249e+00 9.000000000000000000e+00
1.064999999999999974e-01 2.065348416666666509e+01 4.948796637062304882e+00 1.200000000000000000e+01
1.084999999999999992e-01 1.644973750000000123e+01 6.119938361664512882e+00 4.000000000000000000e+00
1.125000000000000028e-01 1.393373916666666723e+01 4.098839345713106930e+00 1.200000000000000000e+01
1.145000000000000046e-01 9.643448333333333622e+00 2.457776777876592433e+00 6.000000000000000000e+00
1.185000000000000081e-01 6.064586666666667014e+00 2.124600896124048788e+00 3.000000000000000000e+00
