# q  S_avg  S_stderr  n_modes
5.000000000000000104e-03 8.100000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.500000000000000139e-02 7.331128000000000644e-02 3.384654724416361754e-02 5.000000000000000000e+00
3.500000000000000333e-02 1.210529999999999939e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.499999999999999833e-02 4.993358888888889124e-01 8.254063038394492124e-02 9.000000000000000000e+00
5.500000000000000028e-02 6.347515000000000240e-01 1.713450709069761213e-01 6.000000000000000000e+00
6.500000000000000222e-02 1.332216733333333236e+00 2.396331738449707371e-01 1.500000000000000000e+01
7.500000000000001110e-02 1.147952615384615349e+00 2.139344947286176968e-01 1.300000000000000000e+01
8.499999999999999223e-02 1.540838555555555489e+00 2.699300081901434001e-01 1.800000000000000000e+01
9.500000000000000111e-02 1.267893277777777605e+00 3.059197095702847480e-01 1.800000000000000000e+01
1.050000000000000100e-01 1.112293821428571361e+00 1.505470290780162312e-01 2.800000000000000000e+01
1.149999999999999911e-01 1.045115619047618960e+00 1.741419555678023756e-01 2.100000000000000000e+01
1.250000000000000000e-01 1.114934857142857227e+00 1.282576229854353322e-01 4.200000000000000000e+01
1.350000000000000089e-01 8.715060606060606174e-01 9.775920756057250582e-02 3.300000000000000000e+01
1.450000000000000178e-01 1.185342571428571246e+00 1.092895535146908570e-01 4.900000000000000000e+01
1.549999999999999989e-01 1.009662354166666498e+00 9.755079464857627225e-02 4.800000000000000000e+01
1.650000000000000078e-01 1.008908203703703599e+00 8.296895842204468630e-02 5.400000000000000000e+01
1.749999999999999889e-01 9.744536666666667735e-01 5.836440609078261815e-02 5.700000000000000000e+01
1.849999999999999978e-01 8.663068684210527559e-01 4.843859354977671922e-02 7.600000000000000000e+01
1.950000000000000067e-01 8.889257666666666724e-01 4.621359715599556578e-02 9.000000000000000000e+01
2.050000000000000155e-01 8.288805873015874237e-01 5.463463565792266857e-02 6.300000000000000000e+01
2.149999999999999967e-01 8.691129357798166311e-01 4.376064882874864531e-02 1.090000000000000000e+02
2.250000000000000056e-01 7.887194230769229986e-01 4.232892884445247500e-02 7.800000000000000000e+01
2.349999999999999867e-01 7.584546587301587151e-01 3.253386546124761164e-02 1.260000000000000000e+02
2.449999999999999956e-01 7.284484509803923480e-01 2.768039167165836645e-02 1.020000000000000000e+02
2.550000000000000044e-01 7.666526551724137661e-01 3.042274580539678155e-02 1.450000000000000000e+02
2.650000000000000133e-01 7.102421031746033453e-01 2.468094621553639997e-02 1.260000000000000000e+02
2.750000000000000222e-01 6.741554108527131328e-01 2.281354167244924180e-02 1.290000000000000000e+02
2.850000000000000311e-01 6.690754052287581910e-01 2.011660755577374463e-02 1.530000000000000000e+02
2.949999999999999845e-01 6.304558988764044081e-01 1.585196457952576729e-02 1.780000000000000000e+02
3.049999999999999933e-01 6.314419942528735064e-01 1.648746625635409344e-02 1.740000000000000000e+02
3.150000000000000022e-01 5.989589682539682158e-01 1.460343630172641037e-02 1.890000000000000000e+02
3.250000000000000111e-01 5.988162227979275665e-01 1.407379935018514619e-02 1.930000000000000000e+02
3.350000000000000200e-01 5.719205735294117243e-01 1.101681625868329052e-02 2.040000000000000000e+02
3.450000000000000289e-01 5.777142294372292763e-01 1.023496710226424501e-02 2.310000000000000000e+02
3.549999999999999822e-01 5.650695811965813498e-01 9.293409881258112362e-03 2.340000000000000000e+02
3.649999999999999911e-01 5.565805168067227138e-01 8.745239250679961301e-03 2.380000000000000000e+02
3.750000000000000000e-01 5.531434557823128317e-01 7.863203249544845758e-03 2.940000000000000000e+02
3.850000000000000089e-01 5.804331201550387842e-01 8.458052450063247713e-03 2.580000000000000000e+02
3.950000000000000178e-01 5.918096679389313053e-01 8.541288718778891620e-03 2.620000000000000000e+02
4.050000000000000266e-01 5.806055524691358105e-01 6.911876704704121403e-03 3.240000000000000000e+02
4.150000000000000355e-01 6.095993611111111266e-01 7.582975297556013294e-03 3.240000000000000000e+02
4.249999999999999889e-01 6.279837592592591999e-01 7.157648498994396112e-03 3.240000000000000000e+02
4.349999999999999978e-01 6.376728551136363610e-01 7.261418646553764907e-03 3.520000000000000000e+02
4.450000000000000067e-01 6.503545968992248127e-01 7.127171258016424919e-03 3.870000000000000000e+02
4.550000000000000155e-01 6.829339646017699161e-01 7.772299919142849380e-03 3.390000000000000000e+02
4.650000000000000244e-01 6.960925101010101423e-01 7.020481427312334245e-03 3.960000000000000000e+02
4.749999999999999778e-01 7.265215733944955234e-01 6.819633974634123699e-03 4.360000000000000000e+02
4.849999999999999867e-01 7.636223967136150925e-01 7.103195008598153955e-03 4.260000000000000000e+02
4.949999999999999956e-01 7.830271587301587122e-01 7.228646959483281051e-03 4.410000000000000000e+02
5.050000000000000044e-01 8.208687967667436247e-01 7.179995195008333046e-03 4.330000000000000000e+02
5.150000000000000133e-01 8.501338443113772847e-01 7.459950864402849560e-03 5.010000000000000000e+02
5.250000000000000222e-01 8.717803004115226573e-01 7.908439158497777149e-03 4.860000000000000000e+02
5.350000000000000311e-01 9.223969885714285999e-01 7.918075302724422032e-03 5.250000000000000000e+02
5.450000000000000400e-01 9.606386192170817129e-01 7.228030226185785251e-03 5.620000000000000000e+02
5.550000000000000488e-01 9.923027981981983325e-01 8.035476997752784636e-03 5.550000000000000000e+02
5.650000000000000577e-01 9.993317649122807067e-01 8.074660008263907784e-03 5.700000000000000000e+02
5.749999999999999556e-01 1.039806940778341904e+00 7.933091084874386786e-03 5.910000000000000000e+02
5.849999999999999645e-01 1.053959626279863393e+00 8.039891257409576691e-03 5.860000000000000000e+02
5.949999999999999734e-01 1.093736074242424250e+00 7.916005641342479388e-03 6.600000000000000000e+02
6.049999999999999822e-01 1.122759739726027384e+00 7.905094045051725901e-03 6.570000000000000000e+02
6.149999999999999911e-01 1.143024108108108061e+00 7.726653430244770360e-03 7.030000000000000000e+02
6.250000000000000000e-01 1.163263246913580184e+00 7.979435868471695600e-03 6.480000000000000000e+02
6.350000000000000089e-01 1.190950056296296244e+00 8.337542340453876766e-03 6.750000000000000000e+02
6.450000000000000178e-01 1.197709151658767901e+00 8.987599552418240254e-03 6.330000000000000000e+02
6.550000000000000266e-01 1.208605470499243717e+00 8.414502165046898810e-03 6.610000000000000000e+02
6.650000000000000355e-01 1.208750253333333191e+00 8.739945441375672822e-03 6.000000000000000000e+02
6.750000000000000444e-01 1.223818344715447370e+00 9.243250602349740996e-03 6.150000000000000000e+02
6.850000000000000533e-01 1.221692907473309608e+00 9.712329670969029050e-03 5.620000000000000000e+02
6.950000000000000622e-01 1.223088625668449003e+00 9.776971000227532155e-03 5.610000000000000000e+02
7.050000000000000711e-01 1.210487127777777783e+00 9.510012064497457701e-03 5.400000000000000000e+02
7.149999999999999689e-01 1.214119561497326139e+00 9.068786970332576997e-03 5.610000000000000000e+02
7.249999999999999778e-01 1.175478686653771865e+00 9.512782261365390277e-03 5.170000000000000000e+02
7.349999999999999867e-01 1.191248111111111507e+00 1.101312571949208952e-02 4.320000000000000000e+02
7.449999999999999956e-01 1.176908530120482022e+00 9.614571499486430223e-03 4.980000000000000000e+02
7.550000000000000044e-01 1.153119956709956817e+00 9.905866173924617046e-03 4.620000000000000000e+02
7.650000000000000133e-01 1.143268892344497578e+00 1.047308787375514014e-02 4.180000000000000000e+02
7.750000000000000222e-01 1.105633063492063473e+00 9.662925269946665008e-03 4.410000000000000000e+02
7.850000000000000311e-01 1.077142278215223126e+00 9.449499628045631219e-03 3.810000000000000000e+02
7.950000000000000400e-01 1.082211089595375819e+00 1.068121735840082964e-02 3.460000000000000000e+02
8.050000000000000488e-01 1.041307973214285809e+00 1.037585996328790200e-02 3.360000000000000000e+02
