# q  S_avg  S_stderr  n_modes
5.000000000000000104e-04 8.100000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.050000000000000086e-02 2.385635000000000117e-01 5.122500000000002052e-03 2.000000000000000000e+00
2.949999999999999845e-02 4.962283333333332713e-01 1.345364619478468526e-01 3.000000000000000000e+00
3.650000000000000466e-02 4.886980000000000213e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.150000000000000216e-02 1.400407333333333115e+00 5.354295665168711249e-01 3.000000000000000000e+00
4.649999999999999967e-02 2.727351333333333017e+00 1.337343731954520720e+00 6.000000000000000000e+00
5.150000000000000411e-02 1.710990333333333169e+00 6.211551636910951357e-01 3.000000000000000000e+00
5.949999999999999734e-02 1.089660333333333453e+00 3.848302753900449402e-01 3.000000000000000000e+00
6.250000000000000000e-02 9.644734000000001473e+00 4.836768474867080059e+00 6.000000000000000000e+00
6.650000000000000355e-02 4.854185000000000194e+00 1.652919126557114593e+00 6.000000000000000000e+00
6.950000000000000622e-02 8.861019999999999897e+00 1.990955112736933152e+00 3.000000000000000000e+00
7.250000000000000888e-02 2.843570000000000064e+01 0.000000000000000000e+00 1.000000000000000000e+00
7.549999999999999767e-02 1.238344333333333225e+01 5.163854218916116956e+00 6.000000000000000000e+00
7.850000000000000033e-02 4.803920000000000101e+01 1.332847522552123642e+01 6.000000000000000000e+00
8.350000000000000477e-02 2.349573333333333380e+01 6.014971291794426023e+00 3.000000000000000000e+00
8.650000000000000744e-02 5.478372111111110598e+01 1.508155919501900577e+01 9.000000000000000000e+00
8.849999999999999534e-02 4.631104666666666958e+01 1.517309895025769606e+01 6.000000000000000000e+00
9.149999999999999800e-02 3.167083333333333428e+01 1.239345818316170345e+01 3.000000000000000000e+00
9.349999999999999978e-02 6.461750999999999578e+01 2.079984961381131470e+01 6.000000000000000000e+00
9.550000000000000155e-02 5.594853333333333012e+01 1.820553110179553613e+01 6.000000000000000000e+00
9.850000000000000422e-02 2.622556999999999405e+01 1.943048418442268499e+01 3.000000000000000000e+00
1.025000000000000078e-01 2.708116666666666461e+01 7.805762875878593299e+00 3.000000000000000000e+00
1.045000000000000095e-01 2.253960333333333566e+01 7.085514788327544444e+00 9.000000000000000000e+00
1.064999999999999974e-01 2.171520666666666344e+01 6.859334482704146474e+00 1.200000000000000000e+01
1.084999999999999992e-01 5.440244999999999109e+00 1.850402562428420605e+00 4.000000000000000000e+00
1.125000000000000028e-01 1.118598416666666573e+01 2.920371449389578711e+00 1.200000000000000000e+01
1.145000000000000046e-01 1.180522500000000008e+01 3.728322135377387880e+00 6.000000000000000000e+00
1.185000000000000081e-01 7.245199999999999640e+00 2.465391996721819634e+00 3.000000000000000000e+00
1.204999999999999960e-01 1.059874666666666698e+01 2.895401464169999883e+00 6.000000000000000000e+00
1.224999999999999978e-01 1.232890333333333466e+01 3.268849825914392770e+00 9.000000000000000000e+00
1.234999999999999987e-01 1.097116999999999898e+01 2.229437568386550161e+00 6.000000000000000000e+00
1.255000000000000004e-01 1.189670833333333455e+01 2.946015245217871392e+00 6.000000000000000000e+00
1.275000000000000022e-01 6.250665000000000582e+00 1.647691158847737869e+00 6.000000000000000000e+00
1.295000000000000040e-01 9.328651111111110339e+00 2.552084426934429384e+00 9.000000000000000000e+00
1.325000000000000067e-01 6.937815000000000509e+00 1.184599967574849089e+00 6.000000000000000000e+00
