# q  S_avg  S_stderr  n_modes
5.000000000000000104e-04 6.480000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.050000000000000086e-02 9.301380000000000758e-02 2.445119999999999585e-02 2.000000000000000000e+00
2.949999999999999845e-02 3.774919999999999942e-01 2.236043518143896180e-01 3.000000000000000000e+00
3.650000000000000466e-02 9.207539999999999614e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.150000000000000216e-02 1.759965000000000002e+00 6.198018932758541100e-01 3.000000000000000000e+00
4.649999999999999967e-02 8.797154999999999836e-01 2.789744918354543635e-01 6.000000000000000000e+00
5.150000000000000411e-02 2.756723333333333414e+00 1.549719148042996819e+00 3.000000000000000000e+00
5.949999999999999734e-02 9.791490000000001359e+00 2.426732204515639424e+00 3.000000000000000000e+00
6.250000000000000000e-02 8.475218666666664902e+00 3.315759078379757696e+00 6.000000000000000000e+00
6.650000000000000355e-02 9.754874666666667693e+00 4.128309966846640755e+00 6.000000000000000000e+00
6.950000000000000622e-02 1.294449333333333207e+01 4.256645729998106198e+00 3.000000000000000000e+00
7.250000000000000888e-02 1.697170000000000067e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.549999999999999767e-02 7.574094999999999800e+00 2.883381086542613936e+00 6.000000000000000000e+00
7.850000000000000033e-02 1.283077333333333314e+01 4.828334645752899945e+00 6.000000000000000000e+00
8.350000000000000477e-02 2.924459333333333078e+01 1.161330558741614638e+01 3.000000000000000000e+00
8.650000000000000744e-02 1.637711544444444201e+01 4.901160042025105135e+00 9.000000000000000000e+00
8.849999999999999534e-02 2.298265833333333319e+01 8.261895331494027772e+00 6.000000000000000000e+00
9.149999999999999800e-02 2.738056666666666672e+01 1.052882694389286833e+01 3.000000000000000000e+00
9.349999999999999978e-02 2.722826333333333082e+01 1.101689904554231170e+01 6.000000000000000000e+00
9.550000000000000155e-02 2.624622333333333302e+01 9.675317754960701677e+00 6.000000000000000000e+00
9.850000000000000422e-02 4.020546333333333422e+01 2.462271154978017051e+01 3.000000000000000000e+00
1.025000000000000078e-01 5.516533333333332401e+00 2.464952666768899903e+00 3.000000000000000000e+00
1.045000000000000095e-01 1.888628333333333131e+01 4.621249773785646831e+00 9.000000000000000000e+00
1.064999999999999974e-01 1.468450333333333369e+01 3.780240977593595009e+00 1.200000000000000000e+01
1.084999999999999992e-01 1.607985249999999766e+01 4.347734396547575209e+00 4.000000000000000000e+00
1.125000000000000028e-01 2.236668249999999603e+01 7.406438445741193810e+00 1.200000000000000000e+01
1.145000000000000046e-01 2.205175666666666601e+01 6.154482607870281896e+00 6.000000000000000000e+00
1.185000000000000081e-01 4.387413333333333298e+01 2.284413724907212284e+01 3.000000000000000000e+00
1.204999999999999960e-01 3.223107499999999703e+01 1.096074256228222055e+01 6.000000000000000000e+00
