# q  S_avg  S_stderr  n_modes
1.499999999999999944e-02 9.720000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
3.500000000000000333e-02 6.997675599999999552e-01 2.466085600000000044e-01 2.000000000000000000e+00
4.499999999999999833e-02 9.031907777777777868e-01 0.000000000000000000e+00 1.000000000000000000e+00
5.500000000000000722e-02 1.485522166666666699e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.499999999999999722e-02 1.207838063333333345e+01 5.912809366666664346e+00 2.000000000000000000e+00
9.500000000000000111e-02 1.699573472222222392e+01 1.060480277777777536e+00 2.000000000000000000e+00
1.049999999999999961e-01 1.069127114285714164e+01 0.000000000000000000e+00 1.000000000000000000e+00
1.250000000000000000e-01 1.181276678571428462e+01 3.068838452380952209e+00 2.000000000000000000e+00
1.350000000000000089e-01 6.535090363636363975e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.450000000000000178e-01 5.213223816326529203e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.550000000000000266e-01 3.217448791666666974e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.650000000000000078e-01 2.181380592592592649e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.750000000000000167e-01 1.803066929824561182e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.849999999999999978e-01 1.412800513157894677e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.950000000000000067e-01 1.205076822222222344e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.050000000000000155e-01 1.213383412698412878e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.150000000000000244e-01 8.978748532110092384e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.250000000000000056e-01 7.935947948717947398e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.350000000000000144e-01 7.575071111111110200e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.449999999999999956e-01 6.223576764705882614e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.550000000000000044e-01 5.974150689655173263e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.650000000000000133e-01 4.828461111111110871e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.750000000000000222e-01 4.655991472868217240e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.850000000000000311e-01 4.579098692810458227e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.950000000000000400e-01 4.068825393258427292e-01 0.000000000000000000e+00 1.000000000000000000e+00
3.049999999999999933e-01 3.743642931034482646e-01 0.000000000000000000e+00 1.000000000000000000e+00
