# q  S_avg  S_stderr  n_modes
5.000000000000000104e-04 6.480000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.050000000000000086e-02 7.501014999999999766e-02 1.731454999999999453e-02 2.000000000000000000e+00
2.949999999999999845e-02 6.574889999999999901e-01 2.637740749220817693e-01 3.000000000000000000e+00
3.650000000000000466e-02 3.014740000000000197e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.150000000000000216e-02 8.123503333333332854e-01 1.626621726383993827e-01 3.000000000000000000e+00
4.649999999999999967e-02 1.113249500000000003e+00 3.271235409530319771e-01 6.000000000000000000e+00
5.150000000000000411e-02 2.540482000000000351e+00 8.486348137944850212e-01 3.000000000000000000e+00
5.949999999999999734e-02 6.869456666666667211e+00 4.126893393059454240e+00 3.000000000000000000e+00
6.250000000000000000e-02 1.564424349999999997e+01 3.479267714816665968e+00 6.000000000000000000e+00
6.650000000000000355e-02 1.039156666666666595e+01 2.740448832540230306e+00 6.000000000000000000e+00
6.950000000000000622e-02 3.279716333333333722e+01 1.562094221858414222e+01 3.000000000000000000e+00
7.250000000000000888e-02 9.495070000000000121e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.549999999999999767e-02 2.319913999999999987e+01 1.724312949754906654e+01 6.000000000000000000e+00
7.850000000000000033e-02 2.624583333333333357e+01 6.785574486102444070e+00 6.000000000000000000e+00
8.350000000000000477e-02 4.603180000000000405e+01 1.385456503840280540e+01 3.000000000000000000e+00
8.650000000000000744e-02 5.476819222222221839e+01 2.324091592532264983e+01 9.000000000000000000e+00
8.849999999999999534e-02 2.657240333333333027e+01 8.163603158720896147e+00 6.000000000000000000e+00
9.149999999999999800e-02 3.643727333333333007e+01 2.958797053711430891e+01 3.000000000000000000e+00
9.349999999999999978e-02 4.985496666666667664e+01 1.962562015350796329e+01 6.000000000000000000e+00
9.550000000000000155e-02 3.358135000000000048e+01 7.452700373097436604e+00 6.000000000000000000e+00
9.850000000000000422e-02 4.028229999999999933e+01 2.034270145637824356e+01 3.000000000000000000e+00
1.025000000000000078e-01 2.775639999999999930e+01 5.560107489068895070e+00 3.000000000000000000e+00
1.045000000000000095e-01 1.624517444444444436e+01 6.686191885504307209e+00 9.000000000000000000e+00
1.064999999999999974e-01 1.456750583333333360e+01 2.409193883952037929e+00 1.200000000000000000e+01
1.084999999999999992e-01 1.473708999999999847e+01 6.164903714640102450e+00 4.000000000000000000e+00
1.125000000000000028e-01 2.860509999999999664e+01 6.441755630025729928e+00 1.200000000000000000e+01
1.145000000000000046e-01 1.558165999999999940e+01 4.915557876394093029e+00 6.000000000000000000e+00
1.185000000000000081e-01 2.941721333333333632e+01 1.201081258625650960e+01 3.000000000000000000e+00
1.204999999999999960e-01 1.656479833333333218e+01 5.323768872194720281e+00 6.000000000000000000e+00
1.224999999999999978e-01 1.953709666666667033e+01 5.528434519148103909e+00 9.000000000000000000e+00
