# q  S_avg  S_stderr  n_modes
5.000000000000000104e-04 4.941000000000000000e+03 0.000000000000000000e+00 1.330000000000000000e+02
2.050000000000000086e-02 1.052619499999999930e-01 6.582049999999999013e-03 2.000000000000000000e+00
2.949999999999999845e-02 1.306890000000000274e-01 7.293934557790699227e-03 3.000000000000000000e+00
3.650000000000000466e-02 1.928499999999999936e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.150000000000000216e-02 2.980290000000000439e-01 5.751853626730545066e-02 3.000000000000000000e+00
4.649999999999999967e-02 4.995476666666666676e-01 6.308249091185640089e-02 6.000000000000000000e+00
5.150000000000000411e-02 5.240850000000000231e-01 1.145718579116762753e-01 3.000000000000000000e+00
5.949999999999999734e-02 7.474096666666666389e-01 4.994237526834745949e-02 3.000000000000000000e+00
6.250000000000000000e-02 9.505345000000001709e-01 1.211588668901977806e-01 6.000000000000000000e+00
6.650000000000000355e-02 9.259058333333333168e-01 8.043280801945462688e-02 6.000000000000000000e+00
6.950000000000000622e-02 1.344093333333333362e+00 1.907895624620079833e-01 3.000000000000000000e+00
7.250000000000000888e-02 1.413049999999999917e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.549999999999999767e-02 1.377708333333333313e+00 6.791665153783063569e-02 6.000000000000000000e+00
7.850000000000000033e-02 1.910196666666666987e+00 2.477809433036456122e-01 6.000000000000000000e+00
8.350000000000000477e-02 1.860108666666666410e+00 4.678483639760976920e-01 3.000000000000000000e+00
8.650000000000000744e-02 2.026362222222222620e+00 1.842697145172575712e-01 9.000000000000000000e+00
8.849999999999999534e-02 2.173241666666666738e+00 1.920829587689768247e-01 6.000000000000000000e+00
9.149999999999999800e-02 1.853416666666666712e+00 3.804931842286329302e-01 3.000000000000000000e+00
9.349999999999999978e-02 2.634068333333333012e+00 4.107846131361841402e-01 6.000000000000000000e+00
9.550000000000000155e-02 3.057273333333333287e+00 3.690952378421832325e-01 6.000000000000000000e+00
9.850000000000000422e-02 2.849143333333333583e+00 4.056623074402868068e-01 3.000000000000000000e+00
1.025000000000000078e-01 3.434966666666666502e+00 2.442661347337731492e-01 3.000000000000000000e+00
1.045000000000000095e-01 2.574341111111110969e+00 2.939466998096973427e-01 9.000000000000000000e+00
1.064999999999999974e-01 2.759345833333333164e+00 2.571830146479773260e-01 1.200000000000000000e+01
1.084999999999999992e-01 3.048327500000000079e+00 2.757546688143587277e-01 4.000000000000000000e+00
1.125000000000000028e-01 2.489675833333333088e+00 1.435555329061446450e-01 1.200000000000000000e+01
1.145000000000000046e-01 2.229563333333333564e+00 3.104462352127624336e-01 6.000000000000000000e+00
