# q  S_avg  S_stderr  n_modes
5.000000000000000104e-04 4.941000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.050000000000000086e-02 2.052574999999999816e-01 1.981449999999999531e-02 2.000000000000000000e+00
2.949999999999999845e-02 2.514885333333333195e-01 1.345808450333272621e-01 3.000000000000000000e+00
3.650000000000000466e-02 6.745489999999999819e-02 0.000000000000000000e+00 1.000000000000000000e+00
4.150000000000000216e-02 1.967299999999999882e-01 4.932059989835214930e-02 3.000000000000000000e+00
4.649999999999999967e-02 6.003276083333333180e-01 1.897525511673033294e-01 6.000000000000000000e+00
5.150000000000000411e-02 8.804413333333332981e-01 3.147257936814910062e-01 3.000000000000000000e+00
5.949999999999999734e-02 5.665379999999999860e-01 2.120220971321936376e-01 3.000000000000000000e+00
6.250000000000000000e-02 1.908698416666666731e+00 7.302442556674720864e-01 6.000000000000000000e+00
6.650000000000000355e-02 1.021386150000000104e+00 2.854919428043621310e-01 6.000000000000000000e+00
6.950000000000000622e-02 6.677706666666666235e-01 2.877618565928740102e-01 3.000000000000000000e+00
7.250000000000000888e-02 1.521479999999999944e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.549999999999999767e-02 1.364119999999999999e+00 6.083769690903275684e-01 6.000000000000000000e+00
7.850000000000000033e-02 2.379606833333333338e+00 7.463029581673659152e-01 6.000000000000000000e+00
8.350000000000000477e-02 2.314720666666666649e+00 1.192831128919950689e+00 3.000000000000000000e+00
8.650000000000000744e-02 3.109128777777778296e+00 7.872261175403195699e-01 9.000000000000000000e+00
8.849999999999999534e-02 1.713304166666666850e+00 4.090209569618992735e-01 6.000000000000000000e+00
9.149999999999999800e-02 4.208923333333332906e+00 2.199536705659726810e+00 3.000000000000000000e+00
9.349999999999999978e-02 6.680165399999999920e+00 3.042723205982259760e+00 6.000000000000000000e+00
9.550000000000000155e-02 2.508631499999999903e+00 5.890847764266050612e-01 6.000000000000000000e+00
9.850000000000000422e-02 5.652426666666666932e+00 2.047943252479857534e+00 3.000000000000000000e+00
1.025000000000000078e-01 6.848866666666666880e+00 1.054906958809375350e+00 3.000000000000000000e+00
1.045000000000000095e-01 6.365045222222223131e+00 1.553334929752950844e+00 9.000000000000000000e+00
1.064999999999999974e-01 5.582618250000000337e+00 1.641046964149079690e+00 1.200000000000000000e+01
1.084999999999999992e-01 6.567196000000000033e+00 4.033079439986192227e+00 4.000000000000000000e+00
1.125000000000000028e-01 9.289241416666667917e+00 4.460604216874900274e+00 1.200000000000000000e+01
1.145000000000000046e-01 5.736440000000000872e+00 1.794002049627220430e+00 6.000000000000000000e+00
1.185000000000000081e-01 1.812020666666666457e+01 1.284809773264163368e+01 3.000000000000000000e+00
