# q  S_avg  S_stderr  n_modes
5.000000000000000104e-03 4.941000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.500000000000000139e-02 6.425416000000000460e-02 2.998001331283226684e-02 5.000000000000000000e+00
3.500000000000000333e-02 2.235810000000000020e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.499999999999999833e-02 3.029044999999999654e-01 6.789959984152255101e-02 9.000000000000000000e+00
5.500000000000000028e-02 5.122630000000000239e-01 1.741486889163012530e-01 6.000000000000000000e+00
6.500000000000000222e-02 1.012866800000000067e+00 2.273163877817330480e-01 1.500000000000000000e+01
7.500000000000001110e-02 1.097156461538461691e+00 2.159874933730766278e-01 1.300000000000000000e+01
8.499999999999999223e-02 1.504754555555555706e+00 3.467347658594995830e-01 1.800000000000000000e+01
9.500000000000000111e-02 1.992979666666666816e+00 4.719598218146335844e-01 1.800000000000000000e+01
1.050000000000000100e-01 1.958222035714285658e+00 3.077097936717858584e-01 2.800000000000000000e+01
1.149999999999999911e-01 1.977080238095238363e+00 3.502743921868282651e-01 2.100000000000000000e+01
1.250000000000000000e-01 1.666373238095237852e+00 1.475866375320713242e-01 4.200000000000000000e+01
1.350000000000000089e-01 1.442477818181818083e+00 1.663711966207998549e-01 3.300000000000000000e+01
1.450000000000000178e-01 1.247834530612244919e+00 1.375279021570605942e-01 4.900000000000000000e+01
1.549999999999999989e-01 1.128791562500000012e+00 9.513891683695271939e-02 4.800000000000000000e+01
1.650000000000000078e-01 1.198830407407407650e+00 9.917548498610014029e-02 5.400000000000000000e+01
1.749999999999999889e-01 1.080730666666666728e+00 8.249686644711386185e-02 5.700000000000000000e+01
1.849999999999999978e-01 9.944883552631580415e-01 6.328798475249607092e-02 7.600000000000000000e+01
1.950000000000000067e-01 9.762960111111110839e-01 6.602764327920629395e-02 9.000000000000000000e+01
2.050000000000000155e-01 9.571234126984127233e-01 8.113477857805934113e-02 6.300000000000000000e+01
2.149999999999999967e-01 1.092714853211009363e+00 7.480187008207100918e-02 1.090000000000000000e+02
2.250000000000000056e-01 7.941381538461538270e-01 6.031117244484932721e-02 7.800000000000000000e+01
2.349999999999999867e-01 8.284047619047618660e-01 3.483269198735246264e-02 1.260000000000000000e+02
