# q  S_avg  S_stderr  n_modes
5.000000000000000104e-04 4.941000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.050000000000000086e-02 3.908939999999999637e-02 6.013199999999998928e-03 2.000000000000000000e+00
2.949999999999999845e-02 1.767556999999999878e-01 6.029912179562264135e-02 3.000000000000000000e+00
3.650000000000000466e-02 1.769300000000000039e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.150000000000000216e-02 1.876577666666666699e-01 7.155051489277426680e-02 3.000000000000000000e+00
4.649999999999999967e-02 8.450996666666666934e-01 3.487647175919287301e-01 6.000000000000000000e+00
5.150000000000000411e-02 8.874719999999999276e-01 6.637871795033405409e-01 3.000000000000000000e+00
5.949999999999999734e-02 6.005243333333333267e-01 1.373166931225446863e-01 3.000000000000000000e+00
6.250000000000000000e-02 4.419513333333333627e-01 1.346807001327378073e-01 6.000000000000000000e+00
6.650000000000000355e-02 1.197276166666666697e+00 2.670969090394491596e-01 6.000000000000000000e+00
6.950000000000000622e-02 1.470392999999999839e+00 6.403379276931309150e-01 3.000000000000000000e+00
7.250000000000000888e-02 6.170229999999999881e-01 0.000000000000000000e+00 1.000000000000000000e+00
7.549999999999999767e-02 9.263101666666666567e-01 3.848765648833763486e-01 6.000000000000000000e+00
7.850000000000000033e-02 2.668237166666667104e+00 6.694157085653338335e-01 6.000000000000000000e+00
8.350000000000000477e-02 3.082016666666666627e+00 1.498025700673315308e+00 3.000000000000000000e+00
8.650000000000000744e-02 3.828455444444444744e+00 1.313079792629738840e+00 9.000000000000000000e+00
8.849999999999999534e-02 5.117258333333333020e+00 2.185902743456223263e+00 6.000000000000000000e+00
9.149999999999999800e-02 6.345009999999999373e+00 1.674859470234244307e+00 3.000000000000000000e+00
9.349999999999999978e-02 6.126985666666666219e+00 1.466025108687698308e+00 6.000000000000000000e+00
9.550000000000000155e-02 3.971280000000000143e+00 8.186568684294212028e-01 6.000000000000000000e+00
9.850000000000000422e-02 6.165409999999998725e+00 2.978901420227485719e+00 3.000000000000000000e+00
1.025000000000000078e-01 1.330436000000000085e+01 7.132482746346698654e+00 3.000000000000000000e+00
1.045000000000000095e-01 3.073151333333333568e+00 7.828569555917891387e-01 9.000000000000000000e+00
1.064999999999999974e-01 6.675655833333332900e+00 1.651400013406190581e+00 1.200000000000000000e+01
1.084999999999999992e-01 7.985827500000000079e+00 3.674207268501091583e+00 4.000000000000000000e+00
