# q  S_avg  S_stderr  n_modes
5.000000000000000104e-03 4.941000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.500000000000000139e-02 9.649528000000000272e-02 3.339855372692655811e-02 5.000000000000000000e+00
3.500000000000000333e-02 4.400780000000000247e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.499999999999999833e-02 6.027051888888887987e-01 1.927851884102891322e-01 9.000000000000000000e+00
5.500000000000000028e-02 1.760378666666666758e+00 6.434359639693586486e-01 6.000000000000000000e+00
6.500000000000000222e-02 1.879344133333333389e+00 5.157594209770755000e-01 1.500000000000000000e+01
7.500000000000001110e-02 2.128032538461538614e+00 4.779397631176781069e-01 1.300000000000000000e+01
8.499999999999999223e-02 3.105273722222222421e+00 5.453796688241001611e-01 1.800000000000000000e+01
9.500000000000000111e-02 2.139009500000000230e+00 4.569109139697671296e-01 1.800000000000000000e+01
1.050000000000000100e-01 6.069278750000001388e+00 9.939325024652754248e-01 2.800000000000000000e+01
1.149999999999999911e-01 1.006788423809523714e+01 2.301533192901069391e+00 2.100000000000000000e+01
1.250000000000000000e-01 1.527238119047619058e+01 2.015656235139720476e+00 4.200000000000000000e+01
1.350000000000000089e-01 1.718292999999999893e+01 2.079108489116589631e+00 3.300000000000000000e+01
1.450000000000000178e-01 1.179359775510204145e+01 1.851760819864334051e+00 4.900000000000000000e+01
1.549999999999999989e-01 6.339754874999999679e+00 8.348738136385952524e-01 4.800000000000000000e+01
1.650000000000000078e-01 3.146274555555555352e+00 3.435095923410304564e-01 5.400000000000000000e+01
1.749999999999999889e-01 2.346825157894736336e+00 3.179293460461874443e-01 5.700000000000000000e+01
1.849999999999999978e-01 2.175289789473684010e+00 1.786504717419987731e-01 7.600000000000000000e+01
1.950000000000000067e-01 2.228683711111111521e+00 2.034301124798553462e-01 9.000000000000000000e+01
2.050000000000000155e-01 2.766412492063491602e+00 2.495276039753628883e-01 6.300000000000000000e+01
2.149999999999999967e-01 2.769641477064220147e+00 2.362977943022748495e-01 1.090000000000000000e+02
2.250000000000000056e-01 2.502603294871794670e+00 1.984910461896352007e-01 7.800000000000000000e+01
2.349999999999999867e-01 2.943724269841269781e+00 2.158155427685650440e-01 1.260000000000000000e+02
2.449999999999999956e-01 2.679586480392157188e+00 2.092066112817567158e-01 1.020000000000000000e+02
2.550000000000000044e-01 2.111307703448275674e+00 1.244529598660652214e-01 1.450000000000000000e+02
2.650000000000000133e-01 1.540778492063492378e+00 8.726713415356666947e-02 1.260000000000000000e+02
2.750000000000000222e-01 1.230693286821705312e+00 7.047437298123693239e-02 1.290000000000000000e+02
2.850000000000000311e-01 1.036531026143791001e+00 5.661288014647384431e-02 1.530000000000000000e+02
2.949999999999999845e-01 7.425301741573032688e-01 3.011922717211531694e-02 1.780000000000000000e+02
3.049999999999999933e-01 7.171209712643678014e-01 2.397051816404162719e-02 1.740000000000000000e+02
3.150000000000000022e-01 6.552523597883598283e-01 2.575667460265301106e-02 1.890000000000000000e+02
3.250000000000000111e-01 6.819583678756476752e-01 2.443033119269068243e-02 1.930000000000000000e+02
