# q  S_avg  S_stderr  n_modes
5.000000000000000104e-04 2.227500000000000000e+04 0.000000000000000000e+00 1.330000000000000000e+02
2.050000000000000086e-02 2.388509999999999800e-01 2.434299999999998618e-02 2.000000000000000000e+00
2.949999999999999845e-02 6.210773333333333701e-01 1.351301429269000931e-01 3.000000000000000000e+00
3.650000000000000466e-02 1.568359999999999976e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.150000000000000216e-02 3.362973333333333148e+00 7.966147629465853974e-01 3.000000000000000000e+00
4.649999999999999967e-02 7.250320833333333326e+00 2.509052307312602981e+00 6.000000000000000000e+00
5.150000000000000411e-02 4.012728333333333453e+00 2.900322818360531851e+00 3.000000000000000000e+00
5.949999999999999734e-02 2.014310000000000045e+01 9.801362691143172157e+00 3.000000000000000000e+00
6.250000000000000000e-02 9.233660833333333429e+00 2.378589280866012956e+00 6.000000000000000000e+00
6.650000000000000355e-02 5.461288333333333078e+00 8.487225793132353591e-01 6.000000000000000000e+00
6.950000000000000622e-02 3.690765333333333675e+00 1.502764480281295167e+00 3.000000000000000000e+00
7.250000000000000888e-02 8.590330000000000465e-01 0.000000000000000000e+00 1.000000000000000000e+00
7.549999999999999767e-02 9.648368333333333657e-01 1.988615388118773197e-01 6.000000000000000000e+00
7.850000000000000033e-02 1.024267333333333196e+00 2.494567719355622604e-01 6.000000000000000000e+00
8.350000000000000477e-02 7.714020000000000321e-01 3.550667107741865142e-02 3.000000000000000000e+00
8.650000000000000744e-02 8.455392222222223308e-01 1.865633133179202818e-01 9.000000000000000000e+00
8.849999999999999534e-02 6.535563333333332947e-01 1.151336587882873796e-01 6.000000000000000000e+00
9.149999999999999800e-02 5.727036666666666109e-01 2.642723254733853749e-02 3.000000000000000000e+00
9.349999999999999978e-02 5.610411666666667019e-01 1.080520975376898785e-01 6.000000000000000000e+00
9.550000000000000155e-02 6.944431666666667224e-01 1.330627107012370969e-01 6.000000000000000000e+00
9.850000000000000422e-02 4.012006666666667054e-01 3.634888036942969525e-02 3.000000000000000000e+00
1.025000000000000078e-01 4.959270000000000067e-01 8.017163377612641917e-02 3.000000000000000000e+00
1.045000000000000095e-01 4.056817777777778078e-01 4.858638677247916621e-02 9.000000000000000000e+00
1.064999999999999974e-01 4.011143333333333505e-01 3.767798579556915634e-02 1.200000000000000000e+01
1.084999999999999992e-01 3.648142499999999511e-01 4.854538914317713116e-02 4.000000000000000000e+00
1.125000000000000028e-01 4.195197500000000246e-01 3.055556396987372733e-02 1.200000000000000000e+01
1.145000000000000046e-01 4.604090000000000127e-01 5.737567919946569284e-02 6.000000000000000000e+00
1.185000000000000081e-01 4.878103333333332903e-01 8.138077127580226056e-02 3.000000000000000000e+00
1.204999999999999960e-01 3.678726666666666811e-01 3.270644751183541393e-02 6.000000000000000000e+00
1.224999999999999978e-01 3.772715555555555267e-01 2.527651065224562413e-02 9.000000000000000000e+00
1.234999999999999987e-01 3.314115000000000255e-01 2.767825274922533843e-02 6.000000000000000000e+00
1.255000000000000004e-01 3.518281666666667196e-01 3.404713299277603578e-02 6.000000000000000000e+00
1.275000000000000022e-01 3.428076666666666772e-01 1.562141463433378875e-02 6.000000000000000000e+00
1.295000000000000040e-01 3.290033333333333143e-01 1.678412336356395473e-02 9.000000000000000000e+00
1.325000000000000067e-01 3.281556666666666788e-01 3.516061953063082807e-02 6.000000000000000000e+00
1.345000000000000084e-01 2.862849333333333246e-01 1.703404344371997961e-02 1.500000000000000000e+01
1.355000000000000093e-01 3.159443333333333270e-01 3.295732751571003177e-02 6.000000000000000000e+00
1.375000000000000111e-01 2.681883333333333064e-01 1.579243845783305511e-02 3.000000000000000000e+00
1.385000000000000120e-01 3.100336666666667074e-01 1.457761265700860745e-02 3.000000000000000000e+00
1.405000000000000138e-01 2.810952500000000187e-01 2.015409400177038332e-02 1.200000000000000000e+01
1.425000000000000155e-01 2.839379999999999682e-01 1.405964775044761181e-02 6.000000000000000000e+00
1.454999999999999905e-01 3.357550000000000257e-01 0.000000000000000000e+00 1.000000000000000000e+00
1.464999999999999913e-01 2.721782222222222103e-01 2.215934856441819853e-02 9.000000000000000000e+00
1.484999999999999931e-01 2.646544000000000674e-01 1.298200995986735669e-02 1.500000000000000000e+01
1.494999999999999940e-01 2.453683333333333272e-01 2.215863143888729264e-02 6.000000000000000000e+00
1.514999999999999958e-01 2.898821666666666075e-01 4.357578849289795581e-03 6.000000000000000000e+00
1.524999999999999967e-01 2.671735833333333532e-01 9.591466365329519989e-03 1.200000000000000000e+01
1.534999999999999976e-01 2.553667500000000312e-01 1.385692112656901169e-02 1.200000000000000000e+01
1.565000000000000002e-01 2.547081666666666799e-01 1.174776662297041981e-02 6.000000000000000000e+00
1.585000000000000020e-01 2.511631666666666596e-01 1.213689542240702253e-02 6.000000000000000000e+00
1.595000000000000029e-01 2.361860000000000070e-01 1.558522131593474518e-02 6.000000000000000000e+00
1.605000000000000038e-01 2.671645555555555718e-01 7.988627432361982902e-03 9.000000000000000000e+00
1.635000000000000064e-01 2.518035000000000134e-01 1.300176307246152935e-02 1.200000000000000000e+01
1.645000000000000073e-01 2.712184166666666840e-01 1.844721094606885728e-02 1.200000000000000000e+01
1.675000000000000100e-01 2.624406666666666554e-01 3.807268470234853597e-02 3.000000000000000000e+00
1.685000000000000109e-01 2.518601111111110624e-01 1.130724213178106209e-02 1.800000000000000000e+01
