# q  S_avg  S_stderr  n_modes
5.000000000000000104e-04 6.075000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.050000000000000086e-02 5.671984999999999388e-01 4.271604999999999985e-01 2.000000000000000000e+00
2.949999999999999845e-02 2.878994666666666813e+00 1.695875986632015220e+00 3.000000000000000000e+00
3.650000000000000466e-02 1.243659999999999988e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.150000000000000216e-02 3.198605000000000143e+00 1.934197073342062589e+00 3.000000000000000000e+00
4.649999999999999967e-02 4.441869999999998875e+00 1.173139853904895835e+00 6.000000000000000000e+00
5.150000000000000411e-02 1.419252000000000180e+00 2.758079993111149930e-01 3.000000000000000000e+00
5.949999999999999734e-02 1.255968000000000018e+01 2.171144314810356857e+00 3.000000000000000000e+00
6.250000000000000000e-02 6.658359999999999168e+00 1.488717553428677398e+00 6.000000000000000000e+00
6.650000000000000355e-02 1.048018433333333199e+01 6.553235969452351206e+00 6.000000000000000000e+00
6.950000000000000622e-02 6.486659999999999648e+00 2.868638166540585566e+00 3.000000000000000000e+00
7.250000000000000888e-02 9.365560000000000329e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.549999999999999767e-02 1.923049999999999571e+01 2.953039313430599666e+00 6.000000000000000000e+00
7.850000000000000033e-02 8.038685000000000969e+00 3.325504155828356900e+00 6.000000000000000000e+00
8.350000000000000477e-02 1.513564000000000043e+01 7.664117297047326360e+00 3.000000000000000000e+00
8.650000000000000744e-02 1.823675666666666473e+01 2.650316462946767704e+00 9.000000000000000000e+00
8.849999999999999534e-02 1.871338049999999953e+01 6.036132694978928903e+00 6.000000000000000000e+00
9.149999999999999800e-02 1.330587666666666813e+01 5.862321539072876675e+00 3.000000000000000000e+00
9.349999999999999978e-02 2.392194333333333134e+01 4.702097689047351814e+00 6.000000000000000000e+00
9.550000000000000155e-02 1.979329333333333096e+01 6.430585921919644399e+00 6.000000000000000000e+00
9.850000000000000422e-02 3.852991999999999706e+01 2.479247199406303537e+01 3.000000000000000000e+00
1.025000000000000078e-01 1.517870333333333122e+01 5.461143692061622090e+00 3.000000000000000000e+00
1.045000000000000095e-01 1.114379444444444545e+01 3.094798332088911863e+00 9.000000000000000000e+00
1.064999999999999974e-01 2.091303416666666593e+01 3.744255291627359927e+00 1.200000000000000000e+01
1.084999999999999992e-01 9.160849999999999937e+00 2.999141168918195710e+00 4.000000000000000000e+00
1.125000000000000028e-01 2.067417833333333377e+01 8.747975609905399352e+00 1.200000000000000000e+01
1.145000000000000046e-01 1.782176333333333318e+01 5.227203119605274395e+00 6.000000000000000000e+00
1.185000000000000081e-01 1.784868666666666925e+01 7.117966395596740270e+00 3.000000000000000000e+00
1.204999999999999960e-01 1.656882333333333079e+01 3.701643145362760734e+00 6.000000000000000000e+00
1.224999999999999978e-01 1.604451000000000249e+01 3.304853107761035247e+00 9.000000000000000000e+00
1.234999999999999987e-01 8.610016666666666652e+00 1.857809372742830867e+00 6.000000000000000000e+00
1.255000000000000004e-01 1.273241333333333358e+01 3.692233822306551616e+00 6.000000000000000000e+00
1.275000000000000022e-01 6.405258333333333276e+00 1.402683426425736624e+00 6.000000000000000000e+00
1.295000000000000040e-01 1.145232777777777677e+01 1.820930243947198379e+00 9.000000000000000000e+00
1.325000000000000067e-01 1.937504166666666450e+01 4.217823952000538945e+00 6.000000000000000000e+00
1.345000000000000084e-01 1.610906999999999911e+01 3.038617968199640806e+00 1.500000000000000000e+01
1.355000000000000093e-01 6.959186666666666632e+00 1.670075630721887805e+00 6.000000000000000000e+00
1.375000000000000111e-01 1.208774000000000193e+01 5.784882346853161827e+00 3.000000000000000000e+00
1.385000000000000120e-01 1.090032999999999852e+01 3.067535557560824522e+00 3.000000000000000000e+00
1.405000000000000138e-01 1.343908500000000039e+01 2.995465389188045169e+00 1.200000000000000000e+01
1.425000000000000155e-01 8.763841666666666086e+00 2.988782995724086788e+00 6.000000000000000000e+00
1.454999999999999905e-01 1.149680000000000035e+01 0.000000000000000000e+00 1.000000000000000000e+00
1.464999999999999913e-01 7.523602222222223190e+00 2.426565985725493757e+00 9.000000000000000000e+00
1.484999999999999931e-01 1.004748533333333071e+01 2.152015697299331620e+00 1.500000000000000000e+01
1.494999999999999940e-01 8.119284999999999641e+00 1.433230622009242561e+00 6.000000000000000000e+00
1.514999999999999958e-01 6.987661666666667770e+00 2.486087943554983415e+00 6.000000000000000000e+00
1.524999999999999967e-01 7.490082500000000643e+00 1.140430645514657115e+00 1.200000000000000000e+01
1.534999999999999976e-01 6.330965833333333848e+00 1.166973357395920674e+00 1.200000000000000000e+01
1.565000000000000002e-01 6.380446666666666822e+00 1.068135960701840803e+00 6.000000000000000000e+00
1.585000000000000020e-01 8.239151666666666429e+00 2.166896701365674804e+00 6.000000000000000000e+00
1.595000000000000029e-01 9.080688333333332807e+00 2.171066453436216737e+00 6.000000000000000000e+00
1.605000000000000038e-01 4.743571111111111627e+00 7.679163069802820152e-01 9.000000000000000000e+00
1.635000000000000064e-01 5.833487500000000381e+00 1.318620795274552115e+00 1.200000000000000000e+01
1.645000000000000073e-01 6.799550833333332100e+00 1.258856101569907571e+00 1.200000000000000000e+01
1.675000000000000100e-01 3.964779999999999749e+00 9.856572857912295760e-01 3.000000000000000000e+00
1.685000000000000109e-01 6.240961388888889516e+00 1.571085478075869846e+00 1.800000000000000000e+01
1.705000000000000127e-01 5.587466666666667692e+00 7.345678286092972575e-01 1.200000000000000000e+01
1.715000000000000135e-01 4.933796666666666830e+00 1.733086288834010835e+00 3.000000000000000000e+00
1.725000000000000144e-01 4.742778888888889099e+00 6.766251026816935132e-01 9.000000000000000000e+00
1.735000000000000153e-01 5.339337499999999181e+00 1.459049006587138875e+00 1.200000000000000000e+01
1.754999999999999893e-01 4.534878333333333345e+00 7.624268123101680672e-01 6.000000000000000000e+00
1.774999999999999911e-01 3.580238333333333856e+00 9.450165733270387003e-01 6.000000000000000000e+00
1.784999999999999920e-01 5.583645555555555084e+00 1.616563071171461807e+00 9.000000000000000000e+00
1.804999999999999938e-01 4.819043888888888461e+00 6.972551817153093134e-01 1.800000000000000000e+01
1.814999999999999947e-01 4.949231428571429170e+00 6.860962031787717352e-01 7.000000000000000000e+00
1.824999999999999956e-01 4.197339999999999627e+00 3.515292164718791246e-01 3.000000000000000000e+00
1.834999999999999964e-01 4.629878083333332839e+00 1.184396913628904091e+00 1.200000000000000000e+01
1.844999999999999973e-01 3.898581666666666390e+00 9.059976472501338751e-01 6.000000000000000000e+00
1.875000000000000000e-01 3.036818333333333175e+00 4.349182982232921435e-01 6.000000000000000000e+00
1.885000000000000009e-01 4.164678666666666196e+00 7.340213479832252697e-01 1.500000000000000000e+01
1.895000000000000018e-01 3.768791111111111203e+00 3.388855129335489047e-01 9.000000000000000000e+00
1.905000000000000027e-01 4.174068888888888829e+00 9.300678564304454277e-01 9.000000000000000000e+00
1.915000000000000036e-01 5.255971666666666486e+00 1.140639447492550751e+00 6.000000000000000000e+00
1.935000000000000053e-01 5.454092499999998900e+00 1.435571294215632898e+00 1.200000000000000000e+01
1.945000000000000062e-01 3.912514133333333088e+00 6.517249875176963636e-01 1.500000000000000000e+01
1.965000000000000080e-01 4.153966666666666363e+00 1.345995639793994725e+00 3.000000000000000000e+00
1.975000000000000089e-01 2.779720476190476131e+00 3.113917813313365479e-01 2.100000000000000000e+01
1.985000000000000098e-01 3.064311166666666697e+00 4.079866096856599733e-01 1.800000000000000000e+01
1.995000000000000107e-01 2.755253333333333554e+00 4.022316250260676296e-01 6.000000000000000000e+00
2.015000000000000124e-01 2.348493333333333322e+00 4.265370795188203057e-01 6.000000000000000000e+00
2.035000000000000142e-01 3.415721666666666767e+00 6.927989751372781724e-01 1.200000000000000000e+01
2.055000000000000160e-01 2.940560000000000063e+00 9.649181308795063972e-01 3.000000000000000000e+00
2.065000000000000169e-01 4.118193999999999022e+00 8.732767180684737340e-01 9.000000000000000000e+00
2.075000000000000178e-01 2.540888000000000257e+00 3.335189267981225614e-01 1.500000000000000000e+01
2.085000000000000187e-01 4.764881111111111345e+00 1.066826486527584494e+00 9.000000000000000000e+00
2.094999999999999918e-01 3.482705555555555499e+00 8.340565837521508596e-01 9.000000000000000000e+00
2.104999999999999927e-01 3.330371666666666730e+00 3.316954106494296450e-01 2.400000000000000000e+01
2.114999999999999936e-01 3.976876666666666171e+00 1.388636620710320235e+00 6.000000000000000000e+00
2.134999999999999953e-01 2.411887499999999740e+00 3.726702416003078722e-01 1.200000000000000000e+01
2.144999999999999962e-01 3.108584166666666704e+00 4.473425712496069684e-01 1.200000000000000000e+01
2.154999999999999971e-01 3.102579166666666666e+00 3.099172873219522284e-01 1.200000000000000000e+01
2.164999999999999980e-01 2.758141111111111154e+00 5.031858361465044727e-01 9.000000000000000000e+00
2.174999999999999989e-01 1.547052749999999977e+00 3.055884514384706319e-01 4.000000000000000000e+00
2.184999999999999998e-01 2.824079999999999924e+00 2.789303879242556738e-01 1.200000000000000000e+01
2.195000000000000007e-01 2.287552388888888899e+00 2.862414820010848460e-01 1.800000000000000000e+01
2.225000000000000033e-01 2.912197866666667245e+00 5.294115100599717794e-01 1.500000000000000000e+01
2.235000000000000042e-01 2.082247500000000251e+00 3.174777919126785530e-01 1.200000000000000000e+01
2.245000000000000051e-01 2.413030000000000452e+00 3.854355143211378176e-01 6.000000000000000000e+00
2.255000000000000060e-01 1.773356666666666470e+00 2.138746670058627730e-01 1.200000000000000000e+01
2.265000000000000069e-01 2.420982555555555749e+00 3.153460918461109541e-01 1.800000000000000000e+01
2.275000000000000078e-01 1.789084000000000119e+00 3.348770661543409854e-01 9.000000000000000000e+00
2.295000000000000095e-01 2.477368333333333172e+00 2.241657243561359925e-01 6.000000000000000000e+00
2.305000000000000104e-01 2.426596749999999858e+00 4.396900057316057153e-01 1.200000000000000000e+01
2.315000000000000113e-01 1.784852277777777552e+00 1.556276461205345629e-01 1.800000000000000000e+01
2.325000000000000122e-01 2.398761666666666681e+00 3.909641239416277170e-01 6.000000000000000000e+00
2.345000000000000140e-01 1.891064041666666640e+00 1.592294217063888462e-01 2.400000000000000000e+01
2.355000000000000149e-01 1.644367444444444271e+00 1.798716512039935933e-01 1.800000000000000000e+01
2.365000000000000158e-01 7.756833333333332803e-01 2.454810580081032978e-01 3.000000000000000000e+00
2.375000000000000167e-01 1.828819888888889134e+00 1.230087696890124344e-01 1.800000000000000000e+01
2.385000000000000175e-01 1.689753999999999978e+00 2.647349736795959751e-01 1.200000000000000000e+01
