# q  S_avg  S_stderr  n_modes
5.000000000000000104e-03 1.012500000000000000e+04 0.000000000000000000e+00 1.000000000000000000e+00
2.500000000000000139e-02 2.006914400000000320e+00 6.422828216695974923e-01 5.000000000000000000e+00
3.500000000000000333e-02 7.986939999999999706e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.499999999999999833e-02 5.741196444444444325e+00 1.393879314549815618e+00 9.000000000000000000e+00
5.500000000000000028e-02 1.921385499999999880e+01 7.008023090735242100e+00 6.000000000000000000e+00
6.500000000000000222e-02 1.930377666666666769e+01 4.825358466138543356e+00 1.500000000000000000e+01
7.500000000000001110e-02 1.794248292307692338e+01 5.472495145686450790e+00 1.300000000000000000e+01
8.499999999999999223e-02 9.435571666666668023e+00 2.245415467798828058e+00 1.800000000000000000e+01
9.500000000000000111e-02 1.317698777777777686e+01 2.836575371564631798e+00 1.800000000000000000e+01
1.050000000000000100e-01 9.703843214285713614e+00 1.443307602116218780e+00 2.800000000000000000e+01
1.149999999999999911e-01 5.057445809523809288e+00 1.000751794078564405e+00 2.100000000000000000e+01
1.250000000000000000e-01 8.141551547619046758e+00 1.377449601381139255e+00 4.200000000000000000e+01
1.350000000000000089e-01 6.660578666666666869e+00 1.003359555007514059e+00 3.300000000000000000e+01
1.450000000000000178e-01 3.994441836734693663e+00 5.369600026844817409e-01 4.900000000000000000e+01
1.549999999999999989e-01 2.345764270833333498e+00 3.430902773971918340e-01 4.800000000000000000e+01
1.650000000000000078e-01 1.755376314814814931e+00 1.752513380406005294e-01 5.400000000000000000e+01
1.749999999999999889e-01 1.403649245614035035e+00 1.149888388454107374e-01 5.700000000000000000e+01
1.849999999999999978e-01 1.145444605263157944e+00 1.103752919853054071e-01 7.600000000000000000e+01
1.950000000000000067e-01 9.235761555555555002e-01 6.311078015055915369e-02 9.000000000000000000e+01
2.050000000000000155e-01 6.690366190476190189e-01 5.241942312611098248e-02 6.300000000000000000e+01
2.149999999999999967e-01 6.760331009174312955e-01 3.441776620283914373e-02 1.090000000000000000e+02
2.250000000000000056e-01 6.359451666666666725e-01 4.040630353397671459e-02 7.800000000000000000e+01
