# q  S_avg  S_stderr  n_modes
5.000000000000000104e-04 6.075000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.050000000000000086e-02 1.935647500000000076e-01 1.455222500000000196e-01 2.000000000000000000e+00
2.949999999999999845e-02 2.697073000000000054e+00 2.277409874247277699e+00 3.000000000000000000e+00
3.650000000000000466e-02 3.447360000000000202e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.150000000000000216e-02 6.335186666666666078e+00 2.961759784414964791e+00 3.000000000000000000e+00
4.649999999999999967e-02 3.666014999999999802e+00 1.009445609846480796e+00 6.000000000000000000e+00
5.150000000000000411e-02 4.773136666666666805e+00 1.879447784291380152e+00 3.000000000000000000e+00
5.949999999999999734e-02 3.340463333333332940e+01 5.151185475316445661e+00 3.000000000000000000e+00
6.250000000000000000e-02 1.033138316666666690e+01 3.954915782178599848e+00 6.000000000000000000e+00
6.650000000000000355e-02 2.664066166666665936e+01 9.154386609480148707e+00 6.000000000000000000e+00
6.950000000000000622e-02 1.923444999999999894e+01 9.807545238106220253e+00 3.000000000000000000e+00
7.250000000000000888e-02 1.741219999999999857e+01 0.000000000000000000e+00 1.000000000000000000e+00
7.549999999999999767e-02 1.840442666666666582e+01 7.003420129225276014e+00 6.000000000000000000e+00
7.850000000000000033e-02 1.658841500000000124e+01 5.785176057929295013e+00 6.000000000000000000e+00
8.350000000000000477e-02 2.210412333333333379e+01 1.223561522419467273e+01 3.000000000000000000e+00
8.650000000000000744e-02 1.918435111111110913e+01 3.948734528018453815e+00 9.000000000000000000e+00
8.849999999999999534e-02 2.457585333333333821e+01 7.725159531870164464e+00 6.000000000000000000e+00
9.149999999999999800e-02 3.051263333333333705e+01 7.990258016762942894e+00 3.000000000000000000e+00
9.349999999999999978e-02 3.149080333333333215e+01 1.006922665801290684e+01 6.000000000000000000e+00
9.550000000000000155e-02 2.013683333333333181e+01 6.069989560264316353e+00 6.000000000000000000e+00
9.850000000000000422e-02 3.128166666666666629e+01 1.054879585566260047e+01 3.000000000000000000e+00
1.025000000000000078e-01 2.612583666666666815e+01 1.623482460944202899e+01 3.000000000000000000e+00
1.045000000000000095e-01 7.694853333333333545e+00 2.312044036327307150e+00 9.000000000000000000e+00
1.064999999999999974e-01 2.092245833333333138e+01 5.819382018570648185e+00 1.200000000000000000e+01
1.084999999999999992e-01 1.283467750000000152e+01 3.745936401712249619e+00 4.000000000000000000e+00
1.125000000000000028e-01 2.261263250000000369e+01 6.350422140771089019e+00 1.200000000000000000e+01
1.145000000000000046e-01 1.615866499999999917e+01 7.448663060409230319e+00 6.000000000000000000e+00
1.185000000000000081e-01 2.943697000000000230e+01 2.167195675507021235e+01 3.000000000000000000e+00
1.204999999999999960e-01 1.997186500000000109e+01 3.422790818512237543e+00 6.000000000000000000e+00
1.224999999999999978e-01 1.343568666666666722e+01 5.135013152706297213e+00 9.000000000000000000e+00
1.234999999999999987e-01 9.991546666666666354e+00 3.562994295138726564e+00 6.000000000000000000e+00
1.255000000000000004e-01 1.343242666666666629e+01 6.791520798648694068e+00 6.000000000000000000e+00
1.275000000000000022e-01 1.170703166666666561e+01 3.415481461459879409e+00 6.000000000000000000e+00
1.295000000000000040e-01 8.753576666666667450e+00 3.023651497493000662e+00 9.000000000000000000e+00
1.325000000000000067e-01 1.839355000000000118e+01 3.899926213639603567e+00 6.000000000000000000e+00
1.345000000000000084e-01 1.457069413333333685e+01 4.308649338750219826e+00 1.500000000000000000e+01
1.355000000000000093e-01 1.566643666666666412e+01 8.985272247229413978e+00 6.000000000000000000e+00
1.375000000000000111e-01 1.376984999999999992e+01 9.258669384465207486e+00 3.000000000000000000e+00
1.385000000000000120e-01 2.806416666666666782e+00 2.376321325307482191e-01 3.000000000000000000e+00
1.405000000000000138e-01 1.136455666666666531e+01 3.397073315220371370e+00 1.200000000000000000e+01
1.425000000000000155e-01 6.673751666666666971e+00 1.622984501021532022e+00 6.000000000000000000e+00
1.454999999999999905e-01 1.833720000000000017e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.464999999999999913e-01 7.855144444444444929e+00 2.176869150044847157e+00 9.000000000000000000e+00
1.484999999999999931e-01 7.165792666666666477e+00 1.362417169586909615e+00 1.500000000000000000e+01
1.494999999999999940e-01 1.976845499999999811e+00 3.372856127630063927e-01 6.000000000000000000e+00
1.514999999999999958e-01 7.298412166666667922e+00 3.781879343957890605e+00 6.000000000000000000e+00
1.524999999999999967e-01 9.264555833333332657e+00 1.885343919510989119e+00 1.200000000000000000e+01
1.534999999999999976e-01 8.964941666666668141e+00 1.603109149810867606e+00 1.200000000000000000e+01
1.565000000000000002e-01 3.523535000000000306e+00 1.021052793338816711e+00 6.000000000000000000e+00
1.585000000000000020e-01 5.559214999999999129e+00 1.837023697335357308e+00 6.000000000000000000e+00
1.595000000000000029e-01 3.829570000000000363e+00 7.271557486902882061e-01 6.000000000000000000e+00
1.605000000000000038e-01 8.388466666666666072e+00 1.079690440400241203e+00 9.000000000000000000e+00
1.635000000000000064e-01 8.556457499999998717e+00 2.200353566208726797e+00 1.200000000000000000e+01
